"","var","adjusted_r","adjusted_r_squared","r_squared","r","language","dim","window","algo","dataset"
"1","visual_complex_M",0.112681178998675,0.0126970481005314,0.036440528048525,0.190894023082246,"ar",50,1,"cbow","Khwaileh2018.csv"
"2","image_agree_M",0,-0.0586060903522057,-0.16819947931083,0,"ar",50,1,"cbow","Khwaileh2018.csv"
"3","aoa_M",0.285556182876376,0.0815423335789263,0.234026497371518,0.483762852409648,"ar",50,1,"cbow","Khwaileh2018.csv"
"4","imagine_M",0.374873621051562,0.14053023176031,0.403321765152091,0.635076188462527,"ar",50,1,"cbow","Khwaileh2018.csv"
"5","familiar_M",0.137223627489744,0.0188303239414441,0.0540430297119445,0.232471567534493,"ar",50,1,"cbow","Khwaileh2018.csv"
"6","visual_complex_M",0.145710854061006,0.0212316529911877,0.0609348440847087,0.246849841168085,"ar",50,1,"sg","Khwaileh2018.csv"
"7","image_agree_M",0,-0.0602740251736119,-0.172986452248266,0,"ar",50,1,"sg","Khwaileh2018.csv"
"8","aoa_M",0.276595943938139,0.07650531620303,0.219570257502696,0.4685832450085,"ar",50,1,"sg","Khwaileh2018.csv"
"9","imagine_M",0.345980383373854,0.119702425679519,0.343545961700219,0.586127939702774,"ar",50,1,"sg","Khwaileh2018.csv"
"10","familiar_M",0.144947604975692,0.0210098081881891,0.0602981495001028,0.245556815218195,"ar",50,1,"sg","Khwaileh2018.csv"
"11","visual_complex_M",0,-0.0213210317236644,-0.0611913610469169,0,"ar",50,2,"cbow","Khwaileh2018.csv"
"12","image_agree_M",0,-0.0562848033079585,-0.161537385493841,0,"ar",50,2,"cbow","Khwaileh2018.csv"
"13","aoa_M",0.278324876267286,0.0774647367492001,0.222323794470204,0.471512242121246,"ar",50,2,"cbow","Khwaileh2018.csv"
"14","imagine_M",0.364667253416555,0.132982205714374,0.381658930400254,0.617785505171701,"ar",50,2,"cbow","Khwaileh2018.csv"
"15","familiar_M",0.174710215333553,0.0305236593418966,0.0876029023112431,0.295977874698842,"ar",50,2,"cbow","Khwaileh2018.csv"
"16","visual_complex_M",0,-0.00295916141213284,-0.00849279325282126,0,"ar",50,2,"sg","Khwaileh2018.csv"
"17","image_agree_M",0,-0.0450415543891936,-0.129269261096986,0,"ar",50,2,"sg","Khwaileh2018.csv"
"18","aoa_M",0.288388672950556,0.083168026686183,0.238692236589345,0.488561394902775,"ar",50,2,"sg","Khwaileh2018.csv"
"19","imagine_M",0.352604710866376,0.124330082125161,0.356827335699212,0.597350262157146,"ar",50,2,"sg","Khwaileh2018.csv"
"20","familiar_M",0.0564441994910849,0.00318594765618938,0.00914366977326353,0.0956225379984422,"ar",50,2,"sg","Khwaileh2018.csv"
"21","visual_complex_M",0,-0.00818863251282794,-0.0235013753118162,0,"ar",50,3,"cbow","Khwaileh2018.csv"
"22","image_agree_M",0,-0.055683697236153,-0.159812211067759,0,"ar",50,3,"cbow","Khwaileh2018.csv"
"23","aoa_M",0.258653712065521,0.0669017427652735,0.192008001736335,0.438187176599607,"ar",50,3,"cbow","Khwaileh2018.csv"
"24","imagine_M",0.337206381622968,0.113708143807255,0.326342372726821,0.57126383810532,"ar",50,3,"cbow","Khwaileh2018.csv"
"25","familiar_M",0.136186673595933,0.0185468100651251,0.0532293448869091,0.23071485623364,"ar",50,3,"cbow","Khwaileh2018.csv"
"26","visual_complex_M",0,-0.0119009061075704,-0.0341556005287269,0,"ar",50,3,"sg","Khwaileh2018.csv"
"27","image_agree_M",0,-0.0403509514731532,-0.11580723072795,0,"ar",50,3,"sg","Khwaileh2018.csv"
"28","aoa_M",0.269808287777516,0.0727965121534347,0.208925989880357,0.457084226243214,"ar",50,3,"sg","Khwaileh2018.csv"
"29","imagine_M",0.328318424507933,0.107792987871371,0.309365875190835,0.556206683878246,"ar",50,3,"sg","Khwaileh2018.csv"
"30","familiar_M",0.136331117218303,0.0185861735219908,0.0533423180081136,0.23095955924818,"ar",50,3,"sg","Khwaileh2018.csv"
"31","visual_complex_M",0,-0.0148442911992662,-0.0426031157418941,0,"ar",50,4,"cbow","Khwaileh2018.csv"
"32","image_agree_M",0,-0.0479197526712019,-0.137529690166349,0,"ar",50,4,"cbow","Khwaileh2018.csv"
"33","aoa_M",0.271673977058806,0.0738067498109487,0.211825371957423,0.46024490432532,"ar",50,4,"cbow","Khwaileh2018.csv"
"34","imagine_M",0.338099924108721,0.114311558682323,0.328074173418266,0.572777595073573,"ar",50,4,"cbow","Khwaileh2018.csv"
"35","familiar_M",0.181734717341397,0.0330275074871575,0.0947889464881421,0.307878135774761,"ar",50,4,"cbow","Khwaileh2018.csv"
"36","visual_complex_M",0,-0.0516231248430451,-0.148158368299539,0,"ar",50,4,"sg","Khwaileh2018.csv"
"37","image_agree_M",0,-0.0586046924698449,-0.168195467388455,0,"ar",50,4,"sg","Khwaileh2018.csv"
"38","aoa_M",0.278231201505601,0.0774126014912504,0.222174166279889,0.47135354701104,"ar",50,4,"sg","Khwaileh2018.csv"
"39","imagine_M",0.326540289863538,0.106628560904163,0.306023969794949,0.55319433275744,"ar",50,4,"sg","Khwaileh2018.csv"
