var,adjusted r,adjusted r-squared,r-squared,r,dataset,language,dim,window,algo
imageability (young adults),0.795742138831427,0.633205551512014,0.64489932790536,0.803056242056159,de-grandy-2020.tsv,de,100,1,cbow
imageability (older adults),0.805819675618509,0.649345349613919,0.661337189076337,0.813226407021032,de-grandy-2020.tsv,de,100,1,cbow
emotionality (young adults),0.548772633578554,0.301151403364741,0.306712942051635,0.553816704381183,de-grandy-2020.tsv,de,100,1,cbow
emotionality (older adults),0.579235234299104,0.335513456653538,0.341709579428672,0.58455930360287,de-grandy-2020.tsv,de,100,1,cbow
valence,0.608446694426113,0.370207379958064,0.421168805413042,0.648975196300323,de-kanske-2010.tsv,de,100,1,cbow
arousal,0.653119007761867,0.426564438299846,0.485283775085149,0.696623122703481,de-kanske-2010.tsv,de,100,1,cbow
concreteness,0.787619765760291,0.620344895416295,0.705739357697719,0.840082946915195,de-kanske-2010.tsv,de,100,1,cbow
potency,0.492949650972438,0.242999358393848,0.256449507382438,0.506408439288326,de-schauenburg-2015.tsv,de,100,1,cbow
authority,0.576236077997826,0.332048017586317,0.350427059150135,0.591968799135677,de-schauenburg-2015.tsv,de,100,1,cbow
community,0.579257537710501,0.335539294994433,0.354111580695232,0.59507275243892,de-schauenburg-2015.tsv,de,100,1,cbow
arousal,0.630890829480002,0.398023238721964,0.420054045293291,0.648115765348515,de-schauenburg-2015.tsv,de,100,1,cbow
valence,0.687586719593718,0.472775496961651,0.498943882402333,0.706359598506549,de-schauenburg-2015.tsv,de,100,1,cbow
imageability (young adults),0.801096832485832,0.641756135018834,0.65360782002704,0.80846015364212,de-grandy-2020.tsv,de,100,1,sg
imageability (older adults),0.810080978224412,0.656231191281021,0.668350195599373,0.817526877600592,de-grandy-2020.tsv,de,100,1,sg
emotionality (young adults),0.568145914261836,0.322789779892417,0.328750927104576,0.573368055532025,de-grandy-2020.tsv,de,100,1,sg
emotionality (older adults),0.600403981668578,0.360484941203482,0.367142226954588,0.60592262456075,de-grandy-2020.tsv,de,100,1,sg
valence,0.597851495912914,0.357426411165309,0.40662845411298,0.637674253920432,de-kanske-2010.tsv,de,100,1,sg
arousal,0.664502141745178,0.441563096383929,0.502347094862262,0.708764484763636,de-kanske-2010.tsv,de,100,1,sg
concreteness,0.783262416875313,0.613500013689356,0.697952234003818,0.83543535596946,de-kanske-2010.tsv,de,100,1,sg
potency,0.511313609277235,0.261441607032113,0.275912544690717,0.525273780699853,de-schauenburg-2015.tsv,de,100,1,sg
authority,0.591506367574726,0.349879782881447,0.369245822524332,0.607656006737638,de-schauenburg-2015.tsv,de,100,1,sg
community,0.559471122605809,0.313007937029804,0.330333099596029,0.574746117512793,de-schauenburg-2015.tsv,de,100,1,sg
arousal,0.650157181474249,0.422704360622539,0.4461012809522,0.667908138108977,de-schauenburg-2015.tsv,de,100,1,sg
valence,0.711475769165154,0.506197770109147,0.534216096867956,0.730900880330538,de-schauenburg-2015.tsv,de,100,1,sg
imageability (young adults),0.470794037584919,0.22164702582551,0.225740310781816,0.475121364265822,de-grandy-2020.tsv,de,100,2,cbow
imageability (older adults),0.459553785066609,0.211189681369047,0.215089844443446,0.463777796410572,de-grandy-2020.tsv,de,100,2,cbow
emotionality (young adults),0.0278217424156309,0.000774049351041713,0.000788344172062916,0.0280774673370465,de-grandy-2020.tsv,de,100,2,cbow
emotionality (older adults),0.0767813535177045,0.00589537624801071,0.0060042496011174,0.077487093126,de-grandy-2020.tsv,de,100,2,cbow
valence,,-0.00634363626917386,-0.00721687857698961,,de-kanske-2010.tsv,de,100,2,cbow
arousal,0.127031038754164,0.0161368848069619,0.0183582307246438,0.13549254859454,de-kanske-2010.tsv,de,100,2,cbow
concreteness,0.283871249746555,0.0805828864326712,0.0916756387174872,0.302779851901488,de-kanske-2010.tsv,de,100,2,cbow
potency,0.235432392379499,0.0554284113815343,0.0584964046314347,0.241860299824991,de-schauenburg-2015.tsv,de,100,2,cbow
authority,0.160102220629809,0.0256327210505962,0.0270515063485997,0.164473421404796,de-schauenburg-2015.tsv,de,100,2,cbow
community,0.283701778455221,0.0804866990986551,0.0849416824435991,0.291447563797674,de-schauenburg-2015.tsv,de,100,2,cbow
arousal,0.140490099521077,0.0197374680634421,0.0208299478455515,0.144325839147228,de-schauenburg-2015.tsv,de,100,2,cbow
valence,0.132595147433828,0.0175814731229985,0.0185546173917991,0.136215334642613,de-schauenburg-2015.tsv,de,100,2,cbow
imageability (young adults),0.791195857755814,0.625990885329958,0.637551424273183,0.79846817361319,de-grandy-2020.tsv,de,100,2,sg
imageability (older adults),0.796582888548937,0.634544298328969,0.646262798140938,0.803904719566279,de-grandy-2020.tsv,de,100,2,sg
emotionality (young adults),0.565576958536832,0.319877296027773,0.325784656700977,0.57077548712342,de-grandy-2020.tsv,de,100,2,sg
emotionality (older adults),0.583826377062186,0.340853238553558,0.347147974196787,0.589192646081726,de-grandy-2020.tsv,de,100,2,sg
valence,0.606595955576492,0.367958653321758,0.418610527100976,0.647001180138781,de-kanske-2010.tsv,de,100,2,sg
arousal,0.658578987907994,0.433726283313917,0.49343149410002,0.702446790938659,de-kanske-2010.tsv,de,100,2,sg
concreteness,0.78207052883063,0.611634312065421,0.695829706559068,0.834164076521561,de-kanske-2010.tsv,de,100,2,sg
potency,0.516242176906626,0.266505985217292,0.281257239011607,0.53033691085159,de-schauenburg-2015.tsv,de,100,2,sg
authority,0.603029310627834,0.363644349476281,0.383772265498953,0.619493555655709,de-schauenburg-2015.tsv,de,100,2,sg
community,0.57668432919913,0.332564815543851,0.350972462160669,0.592429288743112,de-schauenburg-2015.tsv,de,100,2,sg
arousal,0.643058350143472,0.413524041689245,0.43641282628459,0.660615490496999,de-schauenburg-2015.tsv,de,100,2,sg
valence,0.709951868333834,0.504031655350701,0.531930086458674,0.729335373102576,de-schauenburg-2015.tsv,de,100,2,sg
imageability (young adults),0.448370569479169,0.201036167575074,0.204748819785695,0.452491789743963,de-grandy-2020.tsv,de,100,3,cbow
imageability (older adults),0.432243571390838,0.186834505008707,0.190284886830086,0.436216559555097,de-grandy-2020.tsv,de,100,3,cbow
emotionality (young adults),,-0.00692331450911187,-0.00705117139788525,,de-grandy-2020.tsv,de,100,3,cbow
emotionality (older adults),,-0.00494894089088915,-0.00504033587001362,,de-grandy-2020.tsv,de,100,3,cbow
valence,,-0.0413832120873836,-0.0470798772325183,,de-kanske-2010.tsv,de,100,3,cbow
arousal,0.0776484791863972,0.00602928631996036,0.0068592563367012,0.082820627483141,de-kanske-2010.tsv,de,100,3,cbow
concreteness,0.234371019417945,0.0549297747430065,0.0624912113117253,0.249982422005479,de-kanske-2010.tsv,de,100,3,cbow
potency,0.281284975248127,0.0791212373003392,0.0835006415789557,0.28896477567163,de-schauenburg-2015.tsv,de,100,3,cbow
authority,,-0.00258663061771709,-0.0027298020541221,,de-schauenburg-2015.tsv,de,100,3,cbow
community,0.272122233534369,0.0740505099837335,0.0781492466987003,0.279551867635865,de-schauenburg-2015.tsv,de,100,3,cbow
arousal,0.116826311340527,0.0136483870214338,0.0144038327975279,0.120015968927172,de-schauenburg-2015.tsv,de,100,3,cbow
valence,0.138050998556794,0.0190580782025279,0.0201129533797896,0.141820144478102,de-schauenburg-2015.tsv,de,100,3,cbow
imageability (young adults),0.783985427481774,0.61463315050378,0.625983939530765,0.791191468312674,de-grandy-2020.tsv,de,100,3,sg
imageability (older adults),0.787681257613041,0.620441763594861,0.631899823669108,0.79492126884938,de-grandy-2020.tsv,de,100,3,sg
emotionality (young adults),0.570946841684472,0.325980296029474,0.332000364364792,0.576194727817595,de-grandy-2020.tsv,de,100,3,sg
emotionality (older adults),0.588934763121193,0.346844155212615,0.353249528609469,0.594347986123844,de-grandy-2020.tsv,de,100,3,sg
valence,0.616074140276056,0.379547346316882,0.431794478176202,0.657110704658052,de-kanske-2010.tsv,de,100,3,sg
arousal,0.658475114764188,0.43358947676371,0.493275855248817,0.702335998827354,de-kanske-2010.tsv,de,100,3,sg
concreteness,0.764374222575898,0.584267952138509,0.664696191283855,0.815289023159183,de-kanske-2010.tsv,de,100,3,sg
potency,0.517404738846309,0.267707663780617,0.282525431148548,0.531531213710491,de-schauenburg-2015.tsv,de,100,3,sg
authority,0.571233350223508,0.326307540407573,0.344368843382162,0.586829484077072,de-schauenburg-2015.tsv,de,100,3,sg
community,0.563057822708864,0.317034111713647,0.334582125277133,0.578430743717114,de-schauenburg-2015.tsv,de,100,3,sg
arousal,0.631807192638442,0.399180328669669,0.421275180810057,0.649057147568731,de-schauenburg-2015.tsv,de,100,3,sg
valence,0.693634436753694,0.481128731850614,0.507759473465962,0.712572433838106,de-schauenburg-2015.tsv,de,100,3,sg
imageability (young adults),0.454640301736407,0.206697803962971,0.210515012916315,0.45881915055533,de-grandy-2020.tsv,de,100,4,cbow
imageability (older adults),0.444755212806015,0.197807199318124,0.201460220287849,0.44884320234114,de-grandy-2020.tsv,de,100,4,cbow
emotionality (young adults),0.0498788933764157,0.00248790400445585,0.00253384957939079,0.0503373576917858,de-grandy-2020.tsv,de,100,4,cbow
emotionality (older adults),0.05613057627987,0.00315064159351031,0.00320882633020775,0.0566465032478418,de-grandy-2020.tsv,de,100,4,cbow
valence,,-0.0251111519838395,-0.0285678634628436,,de-kanske-2010.tsv,de,100,4,cbow
arousal,0.134736916476258,0.0181540366615301,0.0206530564977589,0.143711713154353,de-kanske-2010.tsv,de,100,4,cbow
concreteness,0.273070970918994,0.0745677551586419,0.0848324859597747,0.291260168852136,de-kanske-2010.tsv,de,100,4,cbow
potency,0.174902904188277,0.0305910258934935,0.0322842561090005,0.179678201540979,de-schauenburg-2015.tsv,de,100,4,cbow
