word	word_en	length	freq	freq_cl	val_yf	val_ym	val_of	val_om	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_y	aro_o	aro_t	con_yf	con_ym	con_of	con_om	con_y	con_o	con_t	img_yf	img_ym	img_of	img_om	img_y	img_o	img_t	ego_yf	ego_ym	ego_of	ego_om	ego_y	ego_o	ego_t	age_yf	age_ym	age_of	age_om	age_y	age_o	age_t	val_self	val_other	selfother	selfother_sd	selfother_cl	val_age_p	val_age_e	val_age_s	val_sex_p	val_sex_e	val_sex_s	val_axs_p	val_axs_e	val_axs_s	aro_age_p	aro_age_e	aro_age_s	aro_sex_p	aro_sex_e	aro_sex_s	aro_axs_p	aro_axs_e	aro_axs_s	con_age_p	con_age_e	con_age_s	con_sex_p	con_sex_e	con_sex_s	con_axs_p	con_axs_e	con_axs_s	img_age_p	img_age_e	img_age_s	img_sex_p	img_sex_e	img_sex_s	img_axs_p	img_axs_e	img_axs_s	ego_age_p	ego_age_e	ego_age_s	ego_sex_p	ego_sex_e	ego_sex_s	ego_axs_p	ego_axs_e	ego_axs_s	age_age_p	age_age_e	age_age_s	age_sex_p	age_sex_e	age_sex_s	age_axs_p	age_axs_e	age_axs_s
abhaengig	dependent	8	19.464	10	1.5	1.75	1.75	2.083	1.625	1.917	1.771	6	5.583	4.5	4.636	5.792	4.565	5.191	1.917	1.167	2.818	2.417	1.542	2.609	2.064	4.083	3.364	3.333	3.083	3.739	3.208	3.468	3.417	3.667	1.667	2.583	3.542	2.125	2.833	3.917	3.333	3.75	3.091	3.625	3.435	3.532	1.813	2.563	1.917	.22	2	.273	.027	0	.273	.027	0	.875	.001	0	.007	.16	1	.745	.002	0	.522	.01	0	.026	.111	1	.222	.034	0	.71	.003	0	.352	.02	0	.38	.018	0	.67	.004	0	.005	.168	1	.226	.033	0	.487	.011	0	.496	.011	0	.043	.092	1	.899	0	0
abwesend	pre-occupied	8	1.767	14	2.917	3.083	3	2.917	3	2.958	2.979	2.833	2.5	3.083	2.25	2.667	2.667	2.667	1.917	1.917	3.083	2	1.917	2.542	2.229	3.833	3.25	5	3.583	3.542	4.292	3.917	2.583	2.917	1.833	2.25	2.75	2.042	2.396	3.5	3.667	3.583	4	3.583	3.792	3.688	2.813	2.125	1.458	.5	1	.875	.001	0	.875	.001	0	.638	.005	0	1	0	0	.187	.039	0	.568	.007	0	.13	.051	0	.188	.039	0	.188	.039	0	.221	.034	0	.105	.059	0	.494	.011	0	.082	.067	0	.352	.02	0	.917	0	0	.273	.027	0	.127	.052	0	.509	.01	0
aggressiv	aggressive	9	8.319	12	1.083	1.583	1.167	1.833	1.333	1.5	1.417	6.667	6.5	6.833	6.636	6.583	6.739	6.66	3.333	3.75	4.167	2.917	3.542	3.542	3.542	5.545	6.417	5.917	6.083	6	6	6	2.25	3.083	2.5	3	2.667	2.739	2.702	2.667	2.167	2.333	1.75	2.417	2.042	2.229	1.875	1.625	1.125	.333	1	.466	.012	0	.014	.131	1	.715	.003	0	.366	.019	0	.279	.027	0	.928	0	0	1	0	0	.469	.012	0	.151	.046	0	.963	0	0	.209	.036	0	.391	.017	0	.855	.001	0	.15	.048	0	.716	.003	0	.068	.074	0	.01	.142	1	.836	.001	0
akkurat	precise	7	1.695	14	4.083	4.417	6.083	5.833	4.25	5.958	5.104	5.167	4.667	3.833	4.083	4.917	3.958	4.438	5.75	5.273	5.667	6.167	5.522	5.917	5.723	4.417	3.083	5.083	3.75	3.75	4.417	4.083	4.667	4.182	5.583	5.5	4.435	5.542	5	3.25	3.583	3.75	3.917	3.417	3.833	3.625	5.125	4.813	1.625	.441	2	0	.367	1	.903	0	0	.393	.017	0	.041	.092	1	.784	.002	0	.413	.015	0	.264	.029	0	.975	0	0	.18	.041	0	.222	.034	0	.017	.122	1	1	0	0	.007	.158	1	.474	.012	0	.613	.006	0	.069	.073	0	.269	.028	0	.711	.003	0
aktiv	active	5	32.207	10	5.75	5.417	6.333	5.833	5.583	6.083	5.833	4.667	4.917	5.417	5.667	4.792	5.542	5.167	6.167	6.167	6.25	6.083	6.167	6.167	6.167	5.5	5.75	5.917	4.833	5.625	5.375	5.5	6.083	4.833	6.25	5.5	5.458	5.875	5.667	1.5	1.333	2.25	2	1.417	2.13	1.766	6.75	6.188	2	0	2	.013	.133	1	.036	.097	1	.667	.004	0	.134	.05	0	.613	.006	0	1	0	0	1	0	0	.807	.001	0	.807	.001	0	.556	.008	0	.328	.022	0	.121	.054	0	.173	.042	0	.002	.201	1	.411	.015	0	.001	.228	1	.3	.025	0	.835	.001	0
albern	silly	6	2.666	13	4.333	4.75	3.333	2.583	4.542	2.958	3.75	2.167	2.583	3.417	3.333	2.375	3.375	2.875	4.083	3.583	4.083	2.833	3.833	3.458	3.646	5.75	5.75	5.25	5.167	5.75	5.208	5.479	4.75	5.583	2.25	2	5.167	2.125	3.646	2.25	1.583	1.417	2.167	1.917	1.792	1.854	5	5	1.25	.441	1	0	.325	1	.63	.005	0	.097	.061	0	.007	.154	1	.64	.005	0	.484	.011	0	.429	.014	0	.069	.073	0	.429	.014	0	.207	.036	0	.922	0	0	.922	0	0	0	.583	1	.456	.013	0	.17	.042	0	.541	.009	0	.838	.001	0	.001	.217	1
alt	old	3	27.889	10	3.667	3.333	3.917	3.417	3.5	3.667	3.583	2.75	2.75	3.667	3.167	2.75	3.417	3.083	3.833	2.583	2.583	4	3.208	3.292	3.25	6.727	6.333	6.273	6.583	6.522	6.435	6.478	1.75	2	5.583	6	1.875	5.792	3.833	4.75	5	4.75	4.667	4.875	4.708	4.792	3.5	4	1.875	.354	2	.677	.004	0	.3	.024	0	.835	.001	0	.091	.063	0	.521	.009	0	.521	.009	0	.865	.001	0	.865	.001	0	.009	.145	1	.747	.002	0	.896	0	0	.27	.029	0	0	.611	1	.483	.011	0	.86	.001	0	.213	.035	0	.53	.009	0	.213	.035	0
amuesiert	amused	8	4.435	13	6.083	5.417	5.5	5.5	5.75	5.5	5.625	2.5	3	3.333	2.75	2.75	3.042	2.896	4.75	4.583	3.667	4.083	4.667	3.875	4.271	5.833	5.417	6	5	5.625	5.5	5.563	5.25	5.25	4.583	4.5	5.25	4.542	4.896	2.167	2.417	3	2.75	2.292	2.875	2.583	6.125	5.375	1.875	.354	2	.329	.022	0	.195	.038	0	.195	.038	0	.473	.012	0	.918	0	0	.186	.039	0	.06	.078	0	.762	.002	0	.481	.011	0	.764	.002	0	.094	.062	0	.485	.011	0	.052	.083	0	.907	0	0	.907	0	0	.028	.105	1	1	0	0	.336	.021	0
analytisch	analytical	10	1.015	15	3.25	4.667	4.917	5.5	3.958	5.208	4.583	4.583	4.833	4.5	4.75	4.708	4.625	4.667	6.25	5.833	4.75	5.5	6.042	5.125	5.583	2.273	2.833	3.75	3.083	2.565	3.417	3	4.25	4.917	4.583	5.5	4.583	5.042	4.813	2.417	2.667	2.667	2.917	2.542	2.792	2.667	5.375	4.75	1.833	.354	2	.002	.2	1	.011	.138	1	.274	.027	0	.829	.001	0	.518	.01	0	1	0	0	.024	.111	1	.673	.004	0	.144	.048	0	.107	.059	0	.92	0	0	.249	.031	0	.332	.021	0	.097	.061	0	.79	.002	0	.293	.025	0	.293	.025	0	1	0	0
angeekelt	disgusted	9	.341	16	1.583	1.833	1.417	1.083	1.708	1.25	1.479	6.583	6	6.083	6.636	6.292	6.348	6.319	2.417	2.167	3.333	2.75	2.292	3.042	2.667	6.083	6.25	5.333	4.909	6.167	5.13	5.66	2.083	1.833	1.25	1.583	1.958	1.417	1.688	2.917	2.917	2.833	3.333	2.917	3.083	3	1.688	1.813	1.833	.333	2	.024	.11	1	.833	.001	0	.145	.048	0	.775	.002	0	.949	0	0	.021	.118	1	.104	.059	0	.361	.019	0	.714	.003	0	.045	.091	1	.8	.002	0	.562	.008	0	.085	.066	0	.893	0	0	.347	.02	0	.398	.016	0	.208	.036	0	.208	.036	0
