ID	Word	Fragment	NM	Fr	NLG	RLB	FLG	Fa	Di
1	acción	a _ _ i ó n	13	143	4	2.00	2	5.99	.20
2	aerosol	_ e r _ s _ l	4	0	4	1.33	1	4.51	.10
3	agujero	a _ u j _ _ _	6	24	3	.75	1	6.05	.68
4	ajillo	a j i _ l _	1	0	4	2.00	1	4.18	.66
5	albero	_ l b _ r o	4	2	4	2.00	1	1.64	.14
6	álcalis	á _ c a _ i _	0	0	4	1.33	1	1.30	.00
7	alcohol	a _ c o _ o _	6	58	4	1.33	1	6.33	.29
8	aldosa	a l d _ s _	0	0	4	2.00	1	1.43	.15
9	almacén	_ _ _ _ c é n	3	15	3	.75	1	5.92	.91
10	alpaca	_ l p _ c _	5	1	3	1.00	0	1.94	.17
11	amilosa	_ m i l _ _ _	0	0	3	.75	0	1.23	.04
12	amina	_ m i n _	1	0	3	1.50	0	1.75	.46
13	anómero	a _ _ m e r _	0	0	4	1.33	1	1.22	.00
14	ateneo	_ _ e n e _	2	2	3	1.00	0	3.26	.02
15	avión	_ v _ ó n	2	56	3	1.50	1	5.89	.95
16	azada	_ z _ _ a	1	1	2	.67	1	4.46	.14
17	azúcar	_ _ ú c a r	2	29	4	2.00	1	6.57	.96
18	bable	b _ b _ e	1	2	3	1.50	2	1.48	.05
19	batuta	_ _ t u t a	2	3	4	2.00	1	2.67	.56
20	beduino	b _ d _ i _ o	1	0	4	1.33	2	3.01	.10
21	belleza	b e l _ e _ _	2	81	4	1.33	1	6.00	.48
22	bosque	_ _ s q u e	3	55	4	2.00	1	5.40	.74
23	buque	b u q _ _	8	18	3	1.50	1	4.79	.99
24	burbuja	b u r b _ _ _	3	2	4	1.33	1	5.54	.92
25	caballo	c _ _ a _ l o	13	71	4	1.33	2	5.55	.30
26	cacique	_ a c _ _ u e	3	2	4	1.33	1	4.08	.05
27	cámara	_ á m a _ _	21	45	3	1.00	0	6.06	.60
28	camello	c _ m _ l _ o	5	3	4	1.33	2	5.70	.56
29	campeón	_ _ _ p e ó n	3	31	4	1.33	1	6.47	.99
30	canon	_ a n _ n	15	3	3	1.50	1	3.83	.39
31	cárcel	_ á r c _ l	1	58	4	2.00	1	5.54	.85
32	cariño	_ _ r i ñ o	3	28	4	2.00	1	6.54	.97
33	castigo	c _ s _ _ g _	5	26	3	.75	1	6.00	.61
34	caudal	c _ u d _ l	5	15	4	2.00	2	4.19	.78
35	célula	_ é l _ l _	3	41	3	1.00	0	5.89	.26
36	ceniza	_ _ n i z a	6	10	4	2.00	1	6.00	.84
37	cerviz	c e _ v _ z	1	1	4	2.00	2	1.17	.04
38	cetosa	c _ t _ s _	0	0	3	1.00	1	1.32	.06
39	chacal	_ h _ c _ l	1	1	3	1.00	1	3.44	.29
40	chiste	_ h i _ t e	4	12	4	2.00	1	6.14	.58
41	citrato	_ i _ r a _ _	0	0	3	.75	0	1.54	.01
42	código	c _ d i g _	6	29	4	2.00	1	6.01	.97
43	cofia	c _ f i _	6	2	3	1.50	1	3.13	.34
44	collar	c _ _ l a r	2	7	4	2.00	2	6.12	.56
45	colonia	_ o l o _ _ a	7	19	4	1.33	1	5.98	.19
46	coloso	c o _ o s _	2	3	4	2.00	1	2.96	.43
47	conde	_ _ n d e	3	38	3	1.50	1	5.23	.84
48	consejo	_ o _ s e _ o	5	39	4	1.33	1	6.17	.13
49	consumo	c _ _ s _ m o	2	65	4	1.33	2	5.76	.15
50	corbata	_ o _ b a _ a	8	19	4	1.33	1	5.62	.65
51	cristal	_ _ i s t _ _	3	53	3	.75	0	6.17	.13
52	defensa	_ e f _ n _ a	14	109	4	1.33	1	5.62	.07
53	deporte	_ e p _ _ t e	3	53	4	1.33	1	6.32	.10
54	derecha	d _ _ _ c h a	12	130	4	1.33	2	6.43	.67
55	desafío	_ e _ _ _ í o	3	19	3	.75	1	5.18	.04
56	deseo	d _ _ e o	4	113	3	1.50	2	6.36	.87
57	detalle	_ e t _ l _ e	3	35	4	1.33	1	6.22	.03
58	diablo	_ _ a _ l o	9	18	3	1.00	1	5.39	.03
59	diésel	d _ _ s e _	3	3	3	1.00	1	4.41	.06
60	disputa	d i _ _ u t _	2	14	4	1.33	1	4.77	.39
61	domingo	_ o m _ _ g o	2	71	4	1.33	1	6.72	.17
62	dominio	_ o _ i n i _	8	34	4	1.33	0	5.18	.18
63	doncel	d _ n c _ _	7	2	3	1.00	1	1.73	.18
64	duque	d u q _ _	3	16	3	1.50	1	4.84	1.00
65	dureza	d u r _ _ a	6	18	4	2.00	2	5.60	.45
66	embuste	_ _ b _ s _ e	1	0	3	.75	1	2.52	.03
67	energía	_ n _ r g _ a	6	125	4	1.33	1	6.23	.59
68	ensayo	e _ s _ y o	3	25	4	2.00	2	5.75	.86
69	entrada	_ n _ r _ d a	27	96	4	1.33	1	6.27	.10
70	epímero	e p í _ _ r _	0	0	4	1.33	1	1.29	.01
71	escala	_ _ c a l a	9	35	4	2.00	1	5.84	.73
72	eslogan	e _ l _ _ a n	1	3	4	1.33	2	4.82	.16
73	eslora	e s l o _ _	1	2	4	2.00	1	2.23	.18
74	espejo	_ s _ e j _	6	74	3	1.00	0	6.54	.50
75	esquí	e s q _ _	2	3	3	1.50	1	4.51	.89
76	estoque	e _ t o _ u _	5	1	4	1.33	1	2.40	.06
77	estría	_ _ t r í a	3	1	4	2.00	1	5.71	.47
78	estuche	_ s t u _ _ e	1	7	4	1.33	1	6.49	.37
79	estudio	_ s _ u d _ _	11	157	3	.75	0	6.62	.42
80	estufa	e _ _ u f _	8	3	3	1.00	1	6.37	.62
81	examen	e x _ _ _ n	2	28	3	1.00	2	6.72	.82
82	factor	f _ c _ o _	10	41	3	1.00	1	5.43	.15
83	fécula	f _ c _ l a	1	0	4	2.00	2	2.34	.32
84	filete	_ i l e _ e	13	2	4	2.00	1	6.21	.35
85	fórmula	f ó r _  _ l _	5	46	4	1.33	1	5.60	.92
86	frenesí	_ _ _ n _ s í	2	6	3	.75	1	4.12	.33
87	fuego	f _ e g _	13	90	3	1.50	1	6.52	.90
88	furano	_ u r _ _ o	0	0	3	1.00	1	1.23	.04
89	garra	g a _ r _	6	3	3	1.50	1	4.31	.75
90	gigante	g i g _ _  _ e	5	18	4	1.33	2	5.77	.99
91	glicina	_ l i _ _ n a	2	0	4	1.33	1	2.26	.03
92	globo	g l o _ _	9	11	3	1.50	1	5.75	.97
93	guajiro	_ u _ j _ r _ 	4	0	3	.75	0	1.50	.00
94	guarda	g _ _ r d _	14	27	3	1.00	1	5.09	.33
95	halcón	h a _ _ ó n	2	3	4	2.00	2	3.91	.64
96	hambre	_ a m _ _ e	9	60	3	1.00	1	6.75	.28
97	helecho	_ e l e _ h _	2	1	4	1.33	0	4.16	.40
98	hermano	h _ r _ _ n o	7	112	4	1.33	2	6.57	.58
99	héroe	_ é _ o e	4	33	3	1.50	1	5.63	.92
100	hexosa	_ _ x o s a	0	0	4	2.00	1	1.43	.06
101	hierba	_ i _ r b _	12	26	3	1.00	0	6.11	.20
102	hombro	h o _ _ r o	8	32	4	2.00	2	6.24	.46
103	humor	h _ m o _	7	46	3	1.50	1	6.32	.55
104	ídolo	í _ o l _	2	7	3	1.50	1	5.70	.77
105	imino	i m i _ _	0	0	3	1.50	1	1.02	.02
106	isómero	i s _ _ _ r o	1	0	4	1.33	2	2.00	.03
107	joyería	j _ y e _ í _	3	3	4	1.33	1	5.00	.88
108	kimono	k _ m o _ o	1	0	4	2.00	2	4.42	.91
109	lactato	_ _ c t _ _ o	1	0	3	.75	1	1.87	.01
110	levita	l e _ _ t _	3	2	3	1.00	1	3.26	.06
111	límite	l í _ i t _	4	33	4	2.00	1	5.47	.75
112	lipasa	l _  _ a s _	0	0	3	1.00	1	1.50	.01
113	lisina	l _ s _ n a	0	0	4	2.00	2	1.32	.07
114	litigio	_ i _ i g _ o	2	2	4	1.33	1	2.74	.16
115	lluvia	l l _ v _ a	2	67	4	2.00	2	6.54	.93
116	madera	m a d _ r _	6	68	4	2.00	1	6.24	.87
117	maestro	_ a _ s t _ o	11	47	4	1.33	1	6.49	.11
118	magia	m _ g _ a	6	22	3	1.50	2	4.96	.52
119	manosa	_ _ n o s _	0	0	3	1.00	0	1.58	.01
120	marcha	m a r c _ _	15	122	4	2.00	1	6.25	.23
121	mármol	m _ r _ o _	3	21	3	1.00	1	5.46	.06
122	mastín	_ a s _ í n	1	2	4	2.00	1	3.86	.15
123	metal	m e _ a _	7	21	3	1.50	1	6.04	.33
124	micela	_ i c e l _	0	0	4	2.00	0	1.15	.02
125	mitad	m _ _ a d	2	97	3	1.50	2	5.62	.41
126	monje	m _ _ j e	2	8	3	1.50	2	5.17	.84
127	mucina	_ u c _ n _	0	0	3	1.00	0	1.12	.01
128	mucus	m u c _ _	0	0	3	1.50	1	2.57	.04
129	muelle	m _ _ l _ e	6	14	3	1.00	2	4.79	.24
130	músculo	m _ _ _ _ l o	4	11	3	.75	2	6.02	.05
131	música	_ ú s _ _ a	10	119	3	1.00	1	6.65	.18
132	mutasa	_ u t a s _	0	0	4	2.00	0	1.17	.00
133	nación	n a c _ _ n	4	45	4	2.00	2	5.80	.66
134	nivel	n i v _ _	8	125	3	1.50	1	5.64	.47
135	novio	n o _ _ o	7	26	3	1.50	2	6.45	.23
136	objeto	o b j _ _ o	7	109	4	2.00	2	6.22	.99
137	obrero	_ b r _ r o	3	9	4	2.00	1	5.84	.52
138	ocaso	o _ a s _	3	6	3	1.50	1	3.50	.41
139	oficio	o _ _ c _ o	8	44	3	1.00	2	6.08	.03
140	ósmosis	_ s _ o _ i s	2	1	4	1.33	1	3.37	.30
141	palacio	p _ _ a c i _	5	57	4	1.33	1	5.67	.30
142	pañuelo	p _ ñ _ e _ o	2	21	4	1.33	2	6.09	.76
143	peluca	p e l _ c _	3	2	4	2.00	1	5.67	.92
144	pepsina	_ _ p s i _ _	1	1	3	.75	0	1.64	.03
145	péptido	p e p _ _ _ o	1	0	4	1.33	2	4.05	.86
146	picor	p _ c _r 	2	1	3	1.50	2	5.93	.26
147	poeta	_ o e t _	2	70	3	1.50	0	5.73	.56
148	premisa	p r _ _ is _	2	5	4	1.33	1	3.30	.26
149	prensa	_ r _ n s _	8	125	3	1.00	0	6.12	.07
150	prolina	_ _ o l _ n _	0	0	3	.75	0	1.14	.02
151	puente	p _ e n _ e	15	40	4	2.00	2	6.00	.36
152	quimera	q _ _ m e _ _	2	4	3	.75	1	3.63	.82
153	quinasa	q _ i _ _ s a	0	0	4	1.33	2	1.99	.16
154	quitina	_ u _ t _ n _	1	17	3	.75	0	2.05	.02
155	rapto	_ a p t _	5	5	3	1.50	0	4.66	.31
