,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,,,,,,,,,,,,,,,,AVERAGE,,,MOD1,,,SUBJ,,,MOD2,,,OBJ,,,,
Item,Base,Auditory Image,Visual Image,Metaphor,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,#content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,,,,Item,Literal,Valence %Pos,Valence RT,Interp,Fam,Natur,Image,Fig,#chars,#words,# content words,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,KF freq,Subt freq,con,,
NMA01,babble,3.55,2.16,The story was pretentious babble. ,0.00,1311,1.00,6.22,6.17,3.17,3.80,34,5,3,53,75,369,,,,153,220.78,427,6,1.9,240,0,0.86,440,,,,,NLA01,The baby talk was babble.,0.20,1413,n/a,5.94,6.56,6.00,1.65,25,5,2,72,455,484,62,509.37,589,154,855,422,,,,0,0.86,440,,
NMA02,bang,4.05,2.37,His adolescence was a hormonal bang.,0.06,1737,0.89,4.90,4.55,3.10,5.40,36,6,3,8,7,347,,,,18,0.86,267,0,0.84,340,7,19.98,435,,,,,NLA02,The gun shot was a bang.,0.00,1339,n/a,6.35,5.70,6.15,1.80,24,6,3,80,154,500,122,213.2,608,112,227.43,457,,,,7,19.98,435,,
NMA03,bark,4.80,3.00,Her orders were a sharp bark.,0.06,1474,0.95,5.67,6.11,5.11,3.80,29,6,3,48,30,440,,,,58,61.37,344,72,23.78,412,14,5.49,563,,,,,NLA03,The sound was a dog's bark.,0.19,1418,n/a,5.83,6.67,6.39,1.50,27,6,3,98,114,558,,,,204,143.39,502,75,192.84,610,14,5.49,563,,
NMA04,belch,4.40,3.05,Her uncle is an irrepressible belch.,0.07,1761,0.89,2.72,3.50,4.28,5.40,36,6,3,20,42,455,,,,57,124.06,580,0,0.2,230,2,0.73,555,,,,,NLA04,His blunder was a loud belch.,0.00,1579,n/a,3.50,3.56,4.89,2.56,29,6,3,8,14,430,,,,2,0.9,322,20,39.82,413,2,0.73,555,,
NMA05,blast,3.75,3.11,The strategy was a media blast.,0.35,2012,0.84,4.25,4.85,3.30,3.85,31,6,3,17,16,382,,,,22,9.45,240,13,22.29,400,15,16.18,505,,,,,NLA05,The shock was a bomb blast.,0.00,1371,n/a,4.90,5.65,5.70,3.50,27,6,3,27,33,498,,,,31,28.78,395,36,53.65,595,15,16.18,505,,
NMA06,buzz,4.50,2.40,The ideas were a brain buzz. ,0.33,1255,1.00,3.75,4.00,2.90,5.05,29,6,3,67,44,408,,,,143,38.96,259,45,77.02,556,13,15.96,408,,,,,NLA06,The mosquito was an irritating buzz.,0.00,1447,n/a,5.40,6.35,6.25,2.55,36,6,3,7,7,451,,,,1,1.82,595,6,2.18,350,13,15.96,408,,
NMA07,cackle,4.45,2.80,The legislation was a corporate cackle.,0.00,1532,0.74,3.78,3.56,2.89,4.95,39,6,3,22,4,369,,,,46,1.02,397,19,10.22,265,0,0.29,445,,,,,NLA07,The laugh was an ugly cackle.,0.00,1228,n/a,5.95,6.35,5.25,2.20,29,6,3,16,35,418,,,,28,62.86,433,21,42.16,377,0,0.29,445,,
NMA08,cheer,4.10,3.30,Her t-shirt was a supportive cheer.,0.87,1522,0.89,3.60,3.35,4.50,5.55,35,6,3,5,8,452,,,,0,0,635,7,4.65,295,8,18.69,425,,,,,NLA08,The rhyme was a victory cheer.,0.94,1301,n/a,4.35,4.20,3.15,3.55,30,6,3,24,15,412,,,,3,4.41,434,61,21.45,376,8,18.69,425,,
NMA09,chirp,4.35,2.90,His business card was an optimistic chirp.,0.82,1522,0.84,2.61,2.89,3.56,5.80,42,7,3,109,103,425,392,321,389,26,85.43,565,15,3.39,240,1,0.59,505,,,,,NLA09,The squeak was a sparrow chirp.,0.35,1619,n/a,4.80,5.25,4.35,2.60,31,6,3,1,2,532,,,,1,2.37,461,1,2.61,629,1,0.59,505,,
NMA10,chuckle,4.25,2.95,Her haircut is a good chuckle.,0.50,1467,1.00,4.67,4.94,4.89,4.45,30,6,3,271,873,420,,,,2,8.41,535,807,2610.14,297,5,1.59,429,,,,,NLA10,His aside was a rude chuckle.,0.00,1687,n/a,4.75,5.25,4.55,1.95,29,6,3,26,16,325,,,,67,23.76,250,6,22.06,295,5,1.59,429,,
NMA11,clamor,3.05,1.75,The flowers were a colorful clamor.,1.00,1178,1.00,4.20,3.95,5.70,4.90,35,6,3,20,17,483,,,,58,47.59,584,1,3.2,465,2,0.14,399,,,,,NLA11,The discussion was a clamor.,0.11,1347,n/a,4.70,5.84,4.70,3.30,28,5,3,48,6,370,,,,94,12.14,341,,,,2,0.14,399,,
NMA12,clatter,3.55,2.15,His outfit was a colorful clatter.,0.69,1410,1.00,4.33,4.11,5.78,4.80,34,6,3,6,10,485,,,,16,25.1,515,1,3.2,465,2,0.71,475,,,,,NLA12,The angry voices were a clatter.,0.06,1214,n/a,4.39,5.67,5.33,3.56,32,6,3,28,25,445,45,58.98,375,38,15.55,485,,,,2,0.71,475,,
NMA13,cough,4.75,3.65,The celebrity trial was a smothered cough.,0.07,1814,0.74,2.15,2.30,2.50,6.00,42,7,4,38,17,445,3,7.29,390,136,49.37,492,6,1.31,363,7,8.78,535,,,,,NLA13,His complaint was a chest cough.,0.00,1226,n/a,4.70,5.85,4.55,2.20,32,6,3,25,20,485,,,,14,10.16,340,53,40.98,580,7,8.78,535,,
NMA14,crackle,4.00,1.95,The seizure was a brain crackle.,0.06,1357,0.74,2.72,3.28,2.72,4.80,32,6,3,18,27,511,,,,6,3.73,555,45,77.02,556,2,0.69,423,,,,,NLA14,The recording was a faint crackle.,0.06,1739,n/a,4.89,6.00,4.33,2.56,34,6,3,19,8,447,,,,31,14.67,455,25,9.27,462,2,0.69,423,,
NMA15,cry,4.25,3.68,The email was a desperate cry.,0.00,1253,1.00,6.25,5.85,4.90,4.70,30,6,3,25,31,392,,,,0,2.08,485,26,25.69,255,48,65.65,436,,,,,NLA15,The surprise was a hawk's cry.,0.12,1847,n/a,3.39,4.39,5.17,4.11,30,6,3,38,56,462,,,,51,88.9,326,14,12.75,623,48,65.65,436,,
NMA16,fart,4.65,2.21,His suggestion is an ill-timed fart.,0.06,1606,0.84,3.85,2.35,2.50,5.55,36,6,3,13,6,374,,,,34,12.2,333,0,0,215,5,6.43,575,,,,,NLA16,The embarrassment was a fart.,0.06,1065,n/a,4.60,4.55,4.10,2.40,29,5,2,7,6,445,,,,8,4.84,315,,,,5,6.43,575,,
NMA17,flush,4.10,3.47,His memoirs were a toilet flush.,0.06,1213,0.74,2.28,2.44,3.28,6.30,32,6,3,9,13,476,,,,4,1.1,395,13,28.9,586,11,9.37,447,,,,,NLA17,The only noise was a flush.,0.12,1242,n/a,5.15,6.30,5.20,1.40,27,6,3,598,376,398,1747,1083.71,218,37,34.88,529,,,,11,9.37,447,,
NMA18,gasp,4.35,3.30,The logging was an environmentalist gasp. ,0.06,1752,0.89,2.89,3.39,3.56,5.40,42,6,3,3,1,520,,,,5,0.9,505,0,0.25,645,3,1.73,409,,,,,NLA18,The response was a shocked gasp.,0.00,1582,n/a,6.00,6.65,5.05,1.35,32,6,3,37,10,269,,,,77,16.1,3,31,11.73,395,3,1.73,409,,
NMA19,giggle,4.25,3.30,His ugly car is a giggle.,0.20,1373,1.00,3.67,3.06,4.61,5.30,25,6,3,99,176,472,21,42.16,377,274,483.06,622,,,,1,1.71,418,,,,,NLA19,The child's answer was a giggle.,0.71,1513,n/a,5.65,6.65,6.00,1.50,32,6,3,122,112,465,213,157.65,581,152,176.2,397,,,,1,1.71,418,,
NMA20,groan,4.20,2.35,His job was an endless groan,0.00,1132,1.00,4.89,5.39,4.17,5.10,28,6,3,86,140,341,,,,238,413,432,20,6.63,160,1,0.92,432,,,,,NLA20,The patient's reply was a groan.,0.00,1254,n/a,6.11,6.78,5.56,1.61,32,6,3,43,23,409,86,63.65,487,42,4.8,308,,,,1,0.92,432,,
