Materials From Experiment 1: Details of Ratings on a			
"7-Point Scale for Experiential Frequency, Degree of"			
"Meaning Knowledge, and Familiarity"			
Words	Experiential Frequency	Degree of Meaning Knowledge	Familiarity
Known Meaning			
allergie	1.61	6.64	6.5
ampère	1.94	5	5.74
batavia 	1.48	5.16	5.78
bikini 	1.57	6.39	6.1
daltonien	1.65	5.8	5.64
décibel	1.88	5.8	5.96
gingembre	1.92	6.08	5.36
lasagne 	1.76	6.48	6.24
marathon 	1.91	5.84	5.94
paëlla	1.83	6.68	6.42
salami 	1.57	6.08	5.92
scoliose 	1.94	5.16	5.72
véranda 	1.79	6.76	6.4
voltage 	1.46	4.64	5.38
Unknown Meaning			
abscission 	1.61	2.16	1.84
ascite	1.48	1.48	1.42
bernacle	1.5	1.24	1.46
calabre 	1.7	2	2.06
cochylis 	1.38	1.68	1.68
cycnéen 	1.59	1	1.28
diffraction	2.11	3.72	2.54
dolence	1.44	1.88	3.06
ectopie 	1.46	1.44	1.56
endémie	1.77	2.44	2.04
indiction 	1.87	1.76	2.06
périanthe 	1.76	1.16	1.24
polyptère 	2.06	1.2	1.58
protusion 	1.44	2.84	3
Unknown			
cattleya	1.27	1.28	1.1
colcothar	1.31	1.04	1.14
columbar	1.27	1.04	1.4
copahu 	1.25	1.04	1.06
gomphose	1.4	1	1.02
hamada 	1.44	1.04	1.2
imanat	1.42	1.04	1.08
lichaven 	1.25	1.08	1.16
masalchi	1.4	1.12	1.06
mastaba 	1.46	1.56	1.08
maucawis	1.31	1	1.08
pataras 	1.37	1.08	1.14
puchero 	1.26	1.08	1.18
savacou 	1.39	1.04	1.04
