IAPS	set	valcat	content	val_yf	val_ym	val_of	val_om	val_f	val_m	val_y	val_o	val_t	aro_yf	aro_ym	aro_of	aro_om	aro_f	aro_m	aro_y	aro_o	aro_t	vage_p	vage_e	vage_s	vaxs_p	vaxs_e	vaxs_s	vsex_p	vsex_e	vsex_s	aage_p	aage_e	aage_s	aaxs_p	aaxs_e	aaxs_s	asex_p	asex_e	asex_s	phit_y	phit_o	phit_t	pfa_y	pfa_o	pfa_t	dp_y	dp_o	dp_t	bc_y	by_o	by_t
1050.0	2	1	1	4.083	4.667	3.429	4.000	3.731	4.357	4.407	3.704	4.056	5.083	5.133	5.571	5.769	5.346	5.429	5.111	5.667	5.389	0.160	0.019	0	0.927	0.000	0	0.601	0.003	0	0.427	0.013	0	0.917	0.000	0	0.861	0.001	0	0.900	0.820	0.867	0.180	0.220	0.194	2.197	1.688	1.978	-0.183	-0.072	-0.125
1090.0	2	4	1	5.308	4.385	4.643	4.917	4.963	4.640	4.846	4.769	4.808	4.231	6.000	4.929	4.167	4.593	5.120	5.115	4.577	4.846	0.496	0.005	0	0.032	0.045	1	0.376	0.008	0	0.312	0.022	0	0.051	0.079	0	0.459	0.012	0	0.740	0.900	0.827	0.220	0.340	0.276	1.416	1.694	1.537	0.064	-0.435	-0.172
1110.0	2	2	1	5.462	4.462	5.071	5.667	5.259	5.040	4.962	5.346	5.154	3.385	5.615	4.500	4.000	3.963	4.840	4.500	4.269	4.385	0.529	0.004	0	0.006	0.075	1	0.147	0.021	0	0.708	0.003	0	0.024	0.104	1	0.141	0.046	0	0.740	0.940	0.847	0.100	0.300	0.194	1.925	2.079	1.887	0.319	-0.515	-0.080
1111.0	2	1	1	3.500	3.533	2.929	3.077	3.192	3.321	3.519	3.000	3.259	5.833	5.333	6.357	6.615	6.115	5.929	5.556	6.481	6.019	0.080	0.029	0	0.689	0.002	0	0.792	0.001	0	0.177	0.036	0	0.568	0.007	0	0.855	0.001	0	0.900	0.980	0.949	0.020	0.060	0.031	3.335	3.609	3.507	0.386	-0.249	0.118
1121.0	2	2	2	7.154	6.462	6.643	6.583	6.889	6.520	6.808	6.615	6.712	3.231	3.923	2.357	2.583	2.778	3.280	3.577	2.462	3.019	0.100	0.027	0	0.555	0.004	0	0.307	0.011	0	0.015	0.120	1	0.769	0.002	0	0.443	0.013	0	0.780	0.740	0.765	0.300	0.140	0.214	1.297	1.724	1.515	-0.124	0.218	0.034
1205.0	2	1	1	3.250	4.467	2.643	3.846	2.923	4.179	3.926	3.222	3.574	5.583	5.133	6.429	6.154	6.038	5.607	5.333	6.296	5.815	0.068	0.032	0	0.911	0.000	0	0.064	0.033	0	0.151	0.041	0	0.891	0.000	0	0.573	0.006	0	0.780	0.780	0.786	0.140	0.340	0.235	1.853	1.185	1.515	0.154	-0.180	-0.034
1220.0	2	4	1	4.000	3.385	4.714	5.167	4.370	4.240	3.692	4.923	4.308	5.538	5.692	4.571	3.583	5.037	4.680	5.615	4.115	4.865	0.001	0.103	1	0.066	0.034	0	0.963	0.000	0	0.030	0.096	1	0.257	0.027	0	0.663	0.004	0	0.900	0.900	0.908	0.100	0.260	0.173	2.563	1.925	2.270	0.000	-0.319	-0.194
1230.0	2	3	2	3.667	5.200	4.214	3.846	3.962	4.571	4.519	4.037	4.278	5.083	3.200	4.857	5.308	4.962	4.179	4.037	5.074	4.556	0.097	0.026	0	0.010	0.063	1	0.108	0.025	0	0.113	0.050	0	0.051	0.074	0	0.225	0.029	0	0.380	0.620	0.500	0.220	0.100	0.153	0.467	1.587	1.023	0.539	0.488	0.512
1274.0	2	3	1	3.167	3.867	3.286	2.846	3.231	3.393	3.556	3.074	3.315	5.583	4.400	5.643	5.692	5.615	5.000	4.926	5.667	5.296	0.178	0.017	0	0.157	0.019	0	0.404	0.007	0	0.303	0.021	0	0.347	0.018	0	0.387	0.015	0	0.620	0.700	0.663	0.180	0.220	0.194	1.221	1.297	1.285	0.305	0.124	0.221
1275.0	2	2	1	3.692	3.538	4.714	5.083	4.222	4.280	3.615	4.885	4.250	4.769	6.154	5.214	4.250	5.000	5.240	5.462	4.769	5.115	0.028	0.048	1	0.028	0.048	1	0.574	0.003	0	0.364	0.018	0	0.030	0.096	1	0.525	0.009	0	0.700	0.700	0.704	0.140	0.180	0.153	1.605	1.440	1.560	0.278	0.195	0.244
