Spanish word,,Concept,Age of ,,Lexical,Word,Word
(English translation),Typicality,Familiarity,Acquisition,Imageability,Availability,Frequency,Length
,,,,,,,
ANIMALS,,,,,,,
Abeja (bee),4.28,3.56,4.48,6.76,7.672,4,3
Águila(eagle),4.84,3.24,5.24,6.8,19.365,15,3
Araña (spider),3.96,4.16,4.12,6.92,12.969,8,3
Ardilla (squirrel),4.28,2.56,5.24,6.84,5.977,21,3
Avestruz (ostrich),3.68,1.92,6.72,6.76,7.158,4,3
Avispa (wasp),3.6,3.64,4.48,6.88,4.123,1,3
Ballena (whale),5,3,5.08,6.84,11.232,4,3
Buey (ox),4.4,2.04,5.56,6.32,3.278,6,1
Búho (owl),3.92,2.64,5.4,6.8,6.917,12,2
Buitre (vulture),3.6,2.92,6.24,6.64,8.827,2,2
Burro (donkey),5.56,4.28,3.72,6.92,23.995,17,2
Caballo (horse),6.48,4.2,3.64,7,34.723,93,3
Cabra (goat),5.32,3.64,3.88,6.96,12.242,10,2
Calamar (squid),2.48,3.4,5.64,6.24,6.51,1,3
Camello (camel),4.2,2.84,5.68,6.8,2.916,4,3
Canario (canary),4.24,3.4,4.96,6.68,15.616,7,3
Cangrejo (crab),3.28,2.88,4.96,6.56,2.777,2,3
Canguro (kangaroo),3.92,2.48,5.96,6.84,3.801,1,3
Cebra (zebra),4.32,2.84,6.04,6.84,6.838,3,2
Cerdo (pig),6.48,5.28,3.76,6.88,17.991,17,2
Ciervo (deer),4.92,3.08,4.98,6.84,11.601,4,2
Cigüeña (stork),4.6,3.84,4.82,6.64,2.644,5,3
Cocodrilo (crocodile),4.2,2.36,5.16,6.76,7.753,6,4
Codorniz (quail),3.12,2.8,7.44,5.44,5.091,2,3
Colibrí (hummingbird ),2.32,1.68,9.48,5.16,4.832,0,3
Colorín (goldfinch)   ,1.88,1.68,7.56,4.32,4.516,1,3
Conejo (rabbit),6.12,4.2,3.54,6.84,30.302,9,3
Cordero (lamb),5.76,4.28,3.84,6.8,7.306,14,3
Cucaracha (cockroach),2.8,3.2,4.56,6.84,3.545,2,4
Cuervo (crow),3.56,2.76,4.88,6.64,10.398,4,2
Culebra (snake),3.84,3.24,4.68,6.84,7.098,1,3
Delfín (dolphin),5.44,3.2,5.4,6.88,8.164,2,2
Elefante (elephant),6.32,3.36,4.36,6.92,21.565,9,4
Foca (seal),4.84,3.52,5,6.88,3.533,1,2
Gallina (hen),5.88,4.88,3.36,6.88,25.464,19,3
Gallo (rooster),5.56,4.48,3.52,6.92,11.802,16,2
Gamba (prawn),2.56,4.52,5.72,6.76,3.811,1,2
Gamo (fallow deer),3.08,1.64,8.04,5.36,2.892,1,2
Gato (cat),6.72,5.48,3,6.84,76.056,70,2
Gaviota (seagull),4.32,2.76,5.08,6.72,5.783,6,3
Golondrina (swallow),4.32,3.28,5.04,6.36,6.082,6,4
Gorila (gorilla),4.64,2.88,5.6,6.56,5.408,4,2
Gorrino (pig),3.64,3,5.32,6.4,6.804,1,3
Gorrión (sparrow),3.92,3.32,5,6.28,11.579,1,2
Guepardo (cheetah),3.32,2.64,7.08,5.68,2.746,0,3
Gusano (worm),3.12,4.12,4,6.72,5.827,6,3
Halcón (falcon),3.76,2.64,6.68,6.4,3.029,2,2
Hamster(hamster),3.92,3.6,7.56,6.68,8.385,1,2
Hiena (hyena),3.08,2.28,7.16,6.24,7.051,1,2
Hipopótamo (hippopotamus),4.44,2.28,6.16,6.84,10.631,2,5
Hormiga (aunt),4.28,3.68,4.64,6.96,9.531,5,3
Iguana (iguana),3.72,1.88,9.16,5.72,3.109,7,3
Jabalí (wild boar),5.28,2.32,8.32,6.68,12.549,5,3
Jirafa (giraffe),5.4,2.16,6.48,7,18.874,1,3
Koala (koala),4.52,1.68,9,6.67,4.209,0,3
Lagartija (lizard),4.04,2.64,5.64,6.68,6.384,4,4
Lagarto (lizard),3.8,2.04,6.76,6.32,4.21,4,3
Langostino (prawn),3.16,3.56,8.36,6.72,4.634,0,4
Lechuza (owl),4.68,2.24,7.96,6.4,3.313,1,3
León (lion),6.8,3.12,5.28,6.92,37.723,27,2
Leopardo (leopard),6.28,2.24,7.16,6.28,12.136,1,4
Liebre (hare),6.4,3,6.16,6.52,17.27,5,2
Lince (lynx),5.8,2,8.08,6.2,3.93,2,2
Lobo (wolf),6.76,3.2,5.44,6.72,9.537,24,2
Loro (parrot),5.24,2.88,6.32,6.76,7.277,7,2
Mariposa (butterfly),4.2,3.44,4.84,6.96,8.377,8,4
mono/s (monkey),5.96,3.32,4.92,6.8,19.337,24,2
Mosca (fly),3.64,5.68,4.52,6.96,10.921,16,2
Mosquito (mosquito),3.4,4.8,5.12,6.56,5.761,4,3
Orangután (orangutan),5.52,1.88,7.36,6.13,4.282,2,4
Oso (bear),6.68,2.88,5.32,6.88,16.204,22,2
Oveja (sheep),6.64,3.4,4.36,6.92,20.824,5,3
Pájaro (bird),6.12,5.6,4.08,6.8,18.035,35,3
Paloma (pigeon),5.64,4.88,4.96,6.92,17.684,16,3
Pantera (panther),5.96,1.68,7.08,6.52,17.211,13,3
Pato (duck),6.04,3.48,4.8,6.92,9.48,5,2
Perdiz (partridge),5.2,1.96,6.96,6.08,12.093,3,2
Periquito (budgerigar),4.92,2.16,7.12,6.12,18.087,0,4
Perro (dog),6.92,6.04,3.88,7,82.771,112,2
Pez (fish),5.52,5,4.2,6.92,13.734,30,1
Pollo (chicken),5.76,4.96,4.56,6.84,12.675,14,2
Potro (colt),5.64,2.48,7.2,6.64,3.285,4,2
Puma (puma),5.4,1.44,7.96,5.4,3.645,0,2
Rana (frog),4.8,2.8,5.24,6.64,6.324,5,2
Rata (rat),5.6,3.2,5.8,6.68,14.897,17,2
Ratón (mouse),5.72,3.16,5.08,6.8,20.367,18,2
Rinoceronte (rhinoceros),5.2,1.6,7.92,6.6,6.872,1,5
Salmón (salmon),4.12,2.84,8.8,5.56,5.836,3,2
Saltamontes (grasshopper),3.48,2.2,6.64,6.56,4.558,2,4
Sapo (toad),4.12,2.28,6.4,6.44,5.616,5,2
Sardina (sardine),3.92,3.36,6.32,6.12,3.826,3,3
Serpiente (snake),4.76,2.88,5.6,6.84,19.985,18,3
Tiburón (shark),5,2.16,6.68,6.72,10.96,1,3
Tigre (tiger),6.52,2.44,6.04,6.88,25.222,7,2
Toro (bull),6.48,4.2,5.28,6.96,11.169,16,2
Tortuga (turtle),5.56,3.04,5.68,7,8.514,8,3
Trucha (trout),4,3,7.32,5.92,7.759,3,2
Vaca (cow),6.72,4.32,4.52,6.96,27.32,14,2
Yegua (mare),6,2.88,7.08,6.64,7.9,15,2
Zorro (fox),6.52,3.2,5.72,6.52,10.864,4,2
