Spanish word,,Concept,Age of ,,Lexical,Word,Word
(English translation),Typicality,Familiarity,Acquisition,Imageability,Availability,Frequency,Length
,,,,,,,
CLOTHING,,,,,,,
Abrigo (coat),6,5.56,3.8,6.76,33.065,78,3
Albornoz (bathrobe),3,4.2,8.32,6.84,0.796,2,3
Americana (jacket),4.16,1.8,9.4,6.52,4.846,27,5
Anillo (ring),2.2,4.36,4.44,6.96,0.938,20,3
Anorak (anorak),3.88,3,8.4,6.32,6.798,2,3
Bañador (swimsuit),3.76,2.2,4.32,6.92,6.461,5,3
Bata (robe),3.4,3.04,4.6,6.96,1.399,25,2
Bermudas (bermuda shorts),3.52,1.84,8.28,6.8,2.927,0,3
Biquini (bikini),3.44,2.76,8.12,6.92,3.99,1,3
Blusa (blouse),5.76,2.76,6.56,6.8,9.95,15,2
Body (body stocking),2.76,2.04,10.42,5.88,1.137,0,2
Boina (beret),2.16,1.52,6.04,6.72,1.246,7,2
Bolsa (bag),1.4,5.44,4.28,6.52,0.807,34,2
Bolso (bag),2.56,5.76,4.72,6.92,2.066,19,2
Bota (boot),3.44,5.8,4.36,6.92,17.199,26,2
Botines (ankle boot),2.48,2.96,7.72,6.8,2.672,4,3
Botón (button),1.6,3.6,4.4,6.92,1.662,25,2
Bragas (pants),4.44,5.28,3.64,6.88,45.394,9,2
Bufanda (scarf),4.16,5.16,3.88,6.84,31.043,6,3
Calcetines (socks),4.92,5.8,3.44,6.92,58.667,12,3
Calzoncillos (pants),4.64,4.04,3.84,6.88,46.91,5,4
Calzones (underpants),3.88,2.4,6.24,6.52,1.592,2,3
Camisa (shirt),6.48,4.8,4.28,6.84,62.484,61,3
Camiseta (T-shirt),6.64,6.16,3.64,7,64.236,12,4
Camisón (night-dress),3.8,2.12,4.68,6.76,7.354,8,3
Capa (cloak),2.6,1.52,6.16,6.44,0.928,43,2
Cazadora (jacket),6,6.16,6.84,6.8,20.456,16,4
Chal (shawl),3.13,2.36,9.76,6.4,2.255,2,1
Chaleco (vest),4.2,2.68,6.72,6.72,13.603,18,3
Chancla (flip-flop),2.36,3.08,7.24,6.68,6.211,1,2
Chándal (sportsuit),5.64,5.16,6.6,6.68,30.959,0,2
Chaqueta (jacket),6.16,4.92,4.64,6.76,37.792,33,3
Chaquetón (short coat),4.88,2.88,6.52,6.56,3.743,2,3
Chubasquero (raincoat),4.36,3,7.76,6.64,6.823,1,4
Chupa (leather jacket),3.92,3,12.76,6.48,1.92,2,2
Cinturón (belt),3.16,4.64,5.6,6.84,7.745,23,3
Collares (necklaces),1.72,4.12,4.52,6.8,1.265,6,3
Corbata (tie),3.6,2.6,5.36,6.84,7.711,26,3
Correa (belt),1.96,1.76,6.2,6.52,8,4,3
Corsé (corset),2.32,1.2,10.64,6.12,0.831,2,2
Deportivas (trainers),3.8,5.92,8.2,6.6,4.521,1,4
Diadema (hairband),1.84,2.72,5.16,6.44,1.288,4,3
Ejecutivos (sock),2.2,2.08,13.1,5.68,0.843,7,5
Faja (girdle),2.6,1.36,8,6.04,5.029,3,2
Falda (skirt),6.44,4.32,4.04,6.84,34.14,36,2
Frac (tailcoat),3.12,1.24,11.68,6.04,0.831,2,1
Fular (foulard scarf)  ,3.04,1.96,11.65,6.04,3.544,2,2
Gabardina (raincoat),5,2.52,8.28,6.64,4.663,9,4
Gorra (cap),3.64,4.2,4.84,6.6,8.258,13,2
Gorro (hat),3.6,4,4.96,6.72,19.931,7,2
Guante (glove),3.28,4.36,5.64,6.88,24.063,16,2
Impermeable (raincoat),3.68,2.92,7.61,6.44,2.088,4,4
Jeans (jeans),5.92,3.08,10.29,6.64,1.284,0,1
Jersey (pullover),6.56,5.52,5.78,6.84,70.819,10,2
Leotardo (woolen tights),3.16,2.76,7.83,6.48,5.25,1,4
Liga (garter),1.76,1.16,10.21,6.56,1.823,8,2
Mallas (leotard),3.28,1.72,10.16,6.48,4.771,2,2
Manoplas (mitten),2.68,2.04,7.2,6.56,3.166,0,3
Medias (tights),3.44,3.64,7.08,6.92,25.545,49,2
Minifalda (miniskirt),5.48,3.2,9.28,6.96,5.097,5,4
Mono (dungarees),3.76,1.92,8.83,6.56,2.196,24,2
Muñequera (wristband),1.28,1.8,9.6,6.64,1.647,0,4
Niqui (t-shirt),5.84,3.48,9.92,6.44,1.913,0,2
Orejeras (earflaps),1.72,1.4,9.08,6.56,3.677,3,4
Pajarita (bow tie),1.64,1.44,8.92,6.8,1.787,2,4
Palestina/o (Palestinian scarf),1.72,2.92,13.55,5.96,1.449,2,4
Pantaloon (trousers),6.72,6.68,4.44,6.76,70.674,35,3
Panty (tights),3.36,2.56,9.52,6.2,4.56,1,2
Pañuelo (handkerchief),2.44,5.08,5.76,6.8,5.489,27,3
Pareo (beach wrap),2.84,2.2,14.26,6.29,0.843,0,3
Peto (dungrarees),4.68,1.96,9.48,6.6,2.732,3,2
Peúcos (bootees),1.92,1.04,15.6,2,0.963,0,3
Pichi (pinafore dress),4,1.28,8.58,4.67,1.025,1,2
Pijama (pyjama),5.16,5.84,4.8,6.84,10.423,9,3
Plumas (quilted anorak),5.16,4.72,7.92,6.76,12.881,23,2
plumífero (quilted anorak),4.52,3.84,11.88,6.24,0.894,0,4
Polar (fleece),5.48,5,11.79,6.48,10.771,2,2
Polo (polo shirt),6.12,3.6,9.92,6.72,7.966,25,2
Poncho (poncho),3.76,2.2,12.33,6.64,1.769,2,2
Pulsera (bracelet),1.32,4,6.24,6.64,1.216,7,3
Rebeca (cardigan),5.2,2.72,10.17,5.92,1.847,1,3
Reloj (watch),1.48,6.48,5.12,6.96,1.842,72,2
Rokys (rokys),2,1,14.14,2.68,0.883,0,2
Rodillera (kneeband),1.28,2.08,8.64,6.12,0.799,1,4
Sandalia (sandals),2.92,2.48,7.48,6.44,3.759,2,3
Shorts (shorts),4.8,1.8,12.54,5.88,1.737,0,1
Slips (slips),4.24,3.08,11.46,6.36,1.412,0,1
Sombrero (hat),2.76,2.8,5.48,6.92,5.212,44,3
Sudadera (sweater),6.4,5.04,8.83,6.92,37.104,0,4
Suéter (jumper),6.56,3.88,9.92,6.6,19.007,3,2
Sujetado (bra),4.4,5.04,8.84,6.96,36.895,5,4
Tanga (g-string),3.6,4.52,15.46,6.96,11.866,1,2
Tejano (jeans),6.24,3.52,12.76,6.48,1.7,2,3
Tirantes (braces),2.24,3.08,7.76,6.84,1.226,6,3
Tobillera (ankleband),1.2,1.76,9.84,6.6,0.987,0,4
Top (top),4.88,3.48,12,6.48,8.293,0,1
Traje (suit),6.6,3.84,9,6.8,7.34,63,2
Vestido (dress),6.72,4.52,6.2,6.92,14.336,85,3
Zapatilla (trainers),3.6,6.52,5.08,6.84,23.294,17,4
Zapato (shoes),3.76,6,4.76,6.8,39.132,69,3
