Spanish word,,Concept,Age of ,,Lexical,Word,Word
(English translation),Typicality,Familiarity,Acquisition,Imageability,Availability,Frequency,Length
,,,,,,,
FURNITURE,,,,,,,
Spanish word,,,,,,,
English translation,Typ,CFam,AoA,Imag,LA,WFreq,Len
Alacena (cupboard),3.36,1.92,8.23,5.28,2.394,4,4
Alfombra (rug),3.4,5.64,4.58,6.6,9.652,22,3
Aparador (sideboard),3.68,2.76,8,5.44,7.18,7,4
Arca (chest),3.4,2.28,6.88,6.08,2.423,11,2
Arcón (chest),3.4,2.8,7.04,6.32,1.355,3,2
Armario (wardrobe),7,6.36,4,6.72,63.039,38,3
Balancin (seesaw),2.88,2.52,6.48,5.92,2.785,1,3
Banco (bench),4.92,5.52,4.04,6.72,0.87,52,2
Bañera (bath),3.6,5.96,4.08,6.88,4.623,8,3
Banqueta (stool),4.92,4.08,5.38,6.44,5.731,3,3
Barandilla (railing),2.64,4.72,4.64,6.72,0.91,5,4
Barra (bar),1.88,4.52,5.32,6.16,0.719,45,2
Baúl (trunk),5.04,3.6,4.8,6.64,9.128,8,2
Bide (bidet),3.44,4.72,5.68,6.4,2.313,1,2
Buró (bureau),3.16,1.16,11,4.16,1.574,1,2
Butaca (armchair),5.6,4.32,5.96,6.44,4.788,18,3
Cajón (drawer),5.76,5.84,3.88,6.84,5.344,18,2
Cajonera (chest of drawers),5.12,4.12,6.13,6.52,3.218,2,4
Cama (bed),6.92,6.76,3.08,6.84,67.877,199,2
Cocina (kitchen),4.36,6.24,3.16,6.72,4.895,112,3
Cómoda (sideboard),5.68,4.08,6.8,6.32,13.009,14,3
Comodín (chest of drawers)  ,3.52,2.68,7.3,4.96,3.633,1,3
Consola (console table),3.44,3.28,10.92,4.92,1.424,7,3
Coqueta (dressing table)   ,3.36,2.88,10.56,4.2,2.281,4,3
Cortina (curtain),3.68,5.36,4,6.68,0.745,20,3
Cuadro (picture),3.8,5.24,3.76,6.56,16.83,61,2
Descalzadora (shoe horn),1.84,1.84,8.86,4.68,0.85,1,5
Diván (divan),3.92,1.92,10.52,5.76,1.468,10,2
Ducha (shower),3.24,6.52,5.56,6.76,1.87,21,2
Encimera (worktop),4.48,5.12,7.79,6.4,9.094,0,4
Entradita (entrance hall)  ,2.68,2.92,9.19,5.44,2.156,0,4
Escabel (footstool),2,1.16,11.18,2.88,0.641,2,3
Escritor (desk),5.88,5.8,7.46,6.76,28.341,14,4
Escurreplatos (plate rack),3.24,4.52,7.88,6.68,0.842,0,5
Espejo (mirror),4.56,6.32,3.76,6.92,13.704,74,3
Estante (shelf),5.52,5.04,5.46,6.8,0.699,4,3
Estantería (shelves),6.28,6.24,5.28,6.88,44.794,5,5
Flexo (reading lamp),3.52,6.12,8.2,6.32,1.925,2,2
Fogón (ring),2.64,3.16,7.71,6.08,0.679,4,2
Fregadero (sink),4.08,4.76,5.52,6.8,1.464,6,4
Fregador (sink),2.08,3,7.08,4.96,1.343,0,3
Frigorífico (fridge),4.52,5.68,5.08,6.84,6.182,3,5
Guardarropa (wardrobe),4.96,3.08,8.63,6.52,1.304,3,4
Hamaca (hammock),3.44,2.6,8,6.6,7.29,5,3
Horno (oven),3.36,4.76,5.08,6.8,5.384,6,2
Jarrón (vase),2.88,4.44,4.44,6.76,0.857,5,2
Lámpara (lamp),3.8,5.64,3.96,6.76,24.219,22,3
Lavabo (washbasin),3.8,6.16,4.27,6.68,6.246,18,3
Lavadora (washing machine),2.8,5.16,7.16,6.64,6.74,2,4
Lavaplatos (dishwasher),2.88,4.44,8.33,6.6,0.935,1,4
Lavavajillas (dishwasher),2.56,4,9.16,6.84,3.946,1,5
Librería (book shelves),5.4,4.76,7.04,6.68,3.829,9,4
Litera (bunk bed),5.08,2.36,8.28,6.92,4.466,1,3
Mecedora (rocking chair)  ,5.16,2.24,8.2,6.76,5.343,4,4
Mesa (table),6.92,6.76,4.2,7,78.615,228,2
Mesita (bedside table),6.36,5.48,5.04,6.84,42.025,2,3
Microondas (microwaves),2.64,5.32,11.42,7,8.237,3,4
Minicadena (mini hi-fi),2.28,5.44,10.88,6.96,1.89,0,5
Mural (mural),2,2.12,9,5.04,0.641,3,2
Nevera (fridge),2.72,5.96,6.52,6.96,6.282,12,3
Nido (truckle bed)    ,3.28,1.88,6.92,6,0.9,13,2
Ordenador (computer),2.24,6.44,10.75,6.96,4.671,67,4
Papelera (litter),2.84,6,6.24,7,2.398,4,4
Paragüero (umbrella stand),3.04,3.28,7.6,6.76,1.694,1,4
Percha (hanger),2.76,5.28,6.4,6.96,4.559,7,2
Perchero (clothes stand),3.84,3.88,7.12,6.68,5.286,4,3
Piano (piano),2.2,3.28,6.04,7,1.858,31,3
Portalibros (book shelf)   ,2.84,2.28,11.15,5.2,0.641,0,4
Posaplatos (place mat),2.04,2.36,11.64,5.36,0.679,0,4
Puerta (door),3.48,6.56,4.24,7,4.876,301,2
Puf (pouffe),3,2.48,10.86,5.08,3.812,0,1
Pupitre (school desk),5.44,3.68,6,6.76,1.752,9,3
Radio (radio),2.24,5.76,5.68,6.96,1.787,75,2
Recibidor (hall)     ,3.88,3.16,8.72,5.96,2.872,7,4
Reloj (clock),2.52,6.24,4.92,7,2.519,43,2
Repisa (shelf),3.6,4.04,7.84,6.64,1,3,3
Retrete (loo),1.8,3.36,8.64,7,1.261,14,3
Revistero (magazine rack),3.44,2.8,10.25,6.2,0.914,0,4
Rinconera (cornerboard),4.84,2.44,11.58,5.76,1.99,0,4
Ropero (wardrobe),6.08,3.32,9.84,6.48,2.893,6,3
Secreter (writing desk),4.44,1.36,16.89,4.12,1.215,0,3
Silla (chair),6.8,6.72,4.64,7,78.805,58,2
Sillón (armchair),6.76,5.84,5,7,61.626,31,2
Sinfonier (chest of drawers),4.2,1.64,13.69,3.24,3.479,0,3
Sofá (sofa),6.8,6.36,6.24,7,56.795,4,2
Taburete (stool),5.72,4.48,6.08,6.96,18.16,2,4
Taquillón (traditional Spanish table),4.84,2.32,9.95,5.52,2.278,0,3
Televisión (television),4,6.24,4.35,6.8,14.852,85,4
Televisor (television),2.88,5.76,6.52,6.96,2.819,25,4
Tiestos (flowerpot),1.56,3.48,5.8,6.92,0.641,3,2
Tocador (dressing table),5.24,1.8,9.16,6.32,5.394,5,3
Tresillo (sofa),6.04,2.88,9.96,5.96,8.622,4,3
Tumbona (deck chair),4.32,2.04,9.72,6.52,1.454,2,3
Váter (toilet),1.68,5.8,5.36,6.56,2.025,1,2
Ventana (window),2.2,6.56,4.36,6.96,3.336,120,3
Video (video),1.84,5.52,10.6,7,1.808,30,3
Vidriera (stained-glass window),1.72,2.36,10.36,6.56,1.463,5,3
Vitrina (glass cabinet),4.12,2.64,10.6,6.44,2.906,6,3
WC (toilet) ,1.88,3.64,9.69,6.68,2.658,0,2
Zapatero (shoe rack)   ,4.56,2.6,7.24,6.2,8.043,0,4
