Spanish word,,Concept,Age of ,,Lexical,Word,Word
(English translation),Typicality,Familiarity,Acquisition,Imageability,Availability,Frequency,Length
,,,,,,,
INTELLIGENCE,,,,,,,
Abundante (abundant),2.76,5.56,7.92,4.12,1.399,23,4
Alma (soul),2.96,5.48,6.8,2.52,1.983,165,2
Amistad (friendship),3.48,6.52,5.34,3.56,2.348,53,3
Amor (love),3.8,6.52,5.02,3.96,2.042,378,2
Analizar (to analyse),5.52,4.08,8.76,2.76,2.113,25,4
Aplicado (conscientious),5.04,3.08,8.24,3.24,1.55,12,4
Aprender (to learn),6.04,6.04,5.18,3.6,8.345,27,3
Aprendiz (learner),5.72,4.92,10.16,3.28,3.398,30,5
Aprobado (pass),4.6,5.56,6.88,5.08,1.427,3,4
Aprobar (to pass),5.08,6.48,6.64,4.48,3.124,3,3
Atenci—n (attention),5.4,6.44,5.44,3.28,1.815,158,3
Atento (attentive ),5.36,6.16,5.56,3.88,1.47,18,3
Cabeza (head),5.84,6.6,4.2,6.72,5.958,416,3
Capacidad (capacity),5.92,6.16,8.13,3.48,4.713,114,4
Carisma (charisma),3.76,4.44,11.32,3.24,1.47,0,3
Carrera (career),4.48,6.52,8.84,4.72,2.268,77,3
Cerebro (brain),6.12,5.4,7.04,5.48,23.892,87,3
Ciencia (science),5.16,5.32,8.36,3.52,3.037,203,2
Cient’fico (scientist),5.12,4.64,8.52,6.24,2.268,85,4
Comprender (to understand),6,6,6.52,3.6,2.972,67,3
Concentraci—n (concentration),5.2,6,8,3.64,1.635,40,4
Conocer (to know),5.56,5.88,5.92,3.36,3.845,104,3
Conocimiento (consciousness),6.08,5.52,6.84,3.24,2.265,203,5
Conocimientos (knowledge),5.2,5.12,9.52,3.36,3.535,36,5
Copier (to cheat),2.6,5.36,5.8,4.8,1.692,5,2
Culto (cult),4.96,5.6,8.12,4.04,2.574,30,2
Cultura (culture),5.36,6.68,7.48,4.08,5.333,165,3
Descubrir (to discover),5.2,6.12,6.2,4,1.854,55,3
Diez (ten),4.32,6.76,3.96,6.36,1.732,134,1
Dinero (money),2.72,6.56,4.04,6.56,2.845,199,3
Empoll—n (swot),3.92,3.6,6.56,5.24,3.461,0,3
Escasa (slim/limited),2.44,4.48,7.28,3.08,1.372,23,3
Escribir (to write),4.12,6.68,4,5.6,1.345,128,3
Espabilado (sharp),4.84,5.48,6.28,4.68,1.441,3,5
Est’mulo (stimuli),3.48,5.12,9.28,3.88,1.68,16,4
Estudiante (student),4.52,5.84,5.96,6.28,2.454,19,4
Estudiar (to study),5.4,6.52,5.56,4.68,12.902,45,3
Studio (study),4.84,6.32,6,5.36,8.888,144,3
Estudios (career),4.48,6.28,8.52,3.8,5.36,75,3
Estudioso (expert),4.8,4.76,6.8,4.76,2.717,3,4
Ex‡men (examination),3.76,5.72,6.64,6.68,3.246,21,3
Familia (family),2.68,6.28,3.72,6.52,1.474,250,3
Felicidad (happiness),3.44,5.84,5.64,3.76,1.652,85,4
Filosof’a (Philosophy),4.68,3.64,10,3.32,1.343,117,5
Futuro (future),3.44,5.6,7.04,3.24,2.169,131,3
Genio (genius),6.24,3.72,7.8,4.64,1.62,28,2
Historia (History),3,4.8,6.52,3.68,1.695,406,3
Hombre (man),4.08,6.24,4.24,6.68,2.652,869,2
Idea (idea),5.76,5.36,6,3.4,3.505,128,3
Imaginaci—n (imagination),5.28,5.2,5.68,3.56,4.886,83,5
Inteligencia (intelligence),7,6,8.04,3.24,2.586,3,5
Inteligente (intelligent),6.72,4.88,6.76,3.68,3.14,3,5
Instituto (secondary school),3.16,4.44,7.6,6.52,2.257,42,4
Lectura (reading),5.32,5.32,4.68,4.72,2.81,83,3
Leer (to read),4.76,6.72,5.12,5.24,2.482,97,2
Letras (letters),3.2,6.56,4.8,6.64,2.761,51,2
Libro (book),3.92,6.76,4.68,6.96,10.342,199,2
Listo (smart),6.2,5.32,5.2,3.84,22.067,16,2
L—gica (logic),6.16,4.12,10.28,3,2.795,74,3
Matem‡ticas (maths),4.44,3.6,6.64,4.48,5.845,21,5
Memoria (memory),4.96,5.32,6.48,3.2,13.008,203,3
Memorizar (to memorize),4.6,5.24,7.6,3.4,2.235,2,4
Mente (mind),6.24,4.68,8.2,2.68,10.509,87,2
Mujer (woman),2.92,6.48,5.24,6.52,1.626,511,2
NASA (NASA),3.48,2.68,12.16,4.64,1.616,1,2
Nervio (nerve),2.44,4.08,9.56,3.92,1.445,15,2
Neurona (neurone),5.04,3.08,11.48,4.16,5.987,14,3
Notas (grades),4,5.08,6.84,6.08,1.451,39,2
Nœmeros (numbers),3.76,5.16,4.76,6.76,2.725,28,3
Ordenador (computer),3.4,6.48,9.88,6.96,2.894,67,4
Palabras (words),4.28,6.56,5.4,6.08,1.538,354,3
Pensamieto (thought),5.72,5.56,8.32,3.28,14.611,134,4
Pensar (to think),6.24,5.76,7.44,3.08,11.034,218,2
Poder (power),3.32,4.72,6.96,2.96,1.903,388,2
Profesor (teacher),3.24,6.16,5.44,6.28,3.667,55,4
Rapidez (rapidity),5.24,5.24,6.4,3.44,3.96,24,3
Raz—n (reason),5.76,5.44,8.6,2.84,1.695,275,2
Razonamiento (reasoning),6.6,5,10.32,2.96,1.602,8,5
Razonar (to reason),6.64,5.16,10.04,3.04,1.763,5,3
Recordarto (remember),4.64,5.12,7.16,3.32,2.805,83,3
Recuerdo (memory),3.52,5.84,7.4,4.08,1.418,177,3
Reflexi—n (reflection),5.92,4.64,9.8,3.16,1.488,41,3
Representaci—n (play),3.48,3.44,9.72,3.72,2.235,46,5
Resolver (to solve),6.04,4.76,8.68,3.12,1.627,30,3
Responsabilidad (responsibility),3.48,5.52,9.04,2.92,3.498,39,6
Respuesta (answer),4.6,5.28,6.32,3.44,1.527,95,3
saberto know,5.52,5.64,6.36,3,14.086,287,2
Sabidur’a (wisdom),5.76,3.96,8.56,2.92,17.492,26,5
Sabio (wise),5.92,3.32,7.56,5.16,5.051,22,2
Sobresaliente (first class),4.92,3.6,7.76,5.72,2.998,3,5
So–ar (to dream),3.04,6.04,5.76,3.92,2.09,16,2
Superdotado(extremely gifted),5.96,3.12,9,5.12,4.178,1,5
Test  (test),4.04,3.04,11.04,6.52,2.317,5,1
Tonto (fool),2.88,4.96,4.48,5.12,6.932,19,2
Trabajar (to work),2.92,5.72,5.56,4.84,1.714,74,3
Trabajo (work),3.08,5.88,5.56,5.56,7.89,354,3
Universidad (university),3.88,6.56,10.36,6.24,3.585,109,5
Vida (life),3.16,6.36,6.24,3.92,1.538,1145,2
Voluntad (will),3.16,4.6,9.04,3.28,1.324,117,3
Yo (I),3.4,6.32,4.16,4.32,3.6,1857,1
