Appendix C																				
Word Ratings and Associated Statistics (Men Only)																				
																				
Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
anus	taboo	4	2				2.79	1.82	4.09	2.19	2.06	1.48	4.48	2.18	3.42	1.48	4.48	2.17	7.06	2.15
ass	taboo	3	1				6.13	2.30	6.69	1.94	2.47	2.34	5.03	2.06	3.58	1.36	4.56	2.56	7.13	2.24
asshole	taboo	7	2				5.58	2.40	6.12	2.00	3.79	2.45	5.82	2.10	2.52	1.28	5.30	2.38	4.58	2.91
balls	taboo	5	1				5.24	2.19	5.45	2.33	1.67	1.41	3.76	2.53	4.52	1.46	3.58	2.82	7.09	2.30
bastard	taboo	7	2	12	3.20	6.38	5.16	2.20	6.06	2.00	3.16	2.49	5.28	2.22	2.66	1.29	4.97	2.36	2.72	2.39
bitch	taboo	5	1				5.61	2.34	6.94	1.66	4.24	2.49	6.39	1.98	2.15	0.87	5.67	2.55	3.15	2.40
blowjob	taboo	7	2				4.76	2.54	5.55	2.46	2.42	2.00	6.48	2.31	4.82	2.23	6.39	2.60	7.15	2.33
boner	taboo	5	2				5.13	2.01	5.16	2.15	2.10	1.56	5.39	2.08	4.61	1.48	5.13	2.20	7.42	1.93
boobs	taboo	5	1				5.27	2.44	6.00	2.03	1.76	1.37	3.97	2.07	5.61	1.87	5.94	2.25	8.03	1.29
booty	taboo	5	2				5.13	1.93	5.88	2.08	1.25	0.57	2.69	1.82	5.22	1.29	3.97	2.40	7.23	2.08
breasts	taboo	7	2				4.61	1.80	5.79	1.82	1.52	1.18	2.97	1.63	5.94	1.71	5.61	2.32	8.24	1.00
bullshit	taboo	8	2				5.82	2.42	6.24	2.24	3.00	2.54	5.52	2.25	2.70	1.16	5.00	2.66	2.39	2.30
butt	taboo	4	1				5.45	2.25	5.71	1.87	1.32	0.65	2.23	1.33	4.26	1.46	3.57	2.37	7.53	1.76
buttfuck	taboo	8	2				2.67	2.29	3.06	1.87	4.42	2.80	7.94	1.62	2.58	1.62	6.55	2.45	5.58	3.07
castrate	taboo	8	2				2.33	1.16	3.33	1.78	2.45	1.87	3.76	2.11	2.30	1.21	5.00	2.61	5.55	2.76
chink	taboo	5	1				2.24	2.08	2.97	2.07	4.70	2.78	6.76	2.25	2.03	1.31	5.48	3.06	5.45	2.64
climax	taboo	6	2				3.77	1.98	4.87	2.17	1.32	0.98	2.35	1.98	6.29	1.30	4.45	2.80	4.13	3.12
clit	taboo	4	1				3.33	2.03	4.12	2.27	2.48	2.11	6.55	1.92	4.30	1.93	6.45	2.22	6.70	2.72
cock	taboo	4	1				4.42	2.22	5.33	2.31	3.27	2.61	6.45	2.11	3.33	1.58	5.45	2.75	7.33	2.33
cocksucker	taboo	10	3				2.97	2.21	4.44	2.33	4.88	2.98	7.50	1.85	2.03	0.86	6.77	1.96	4.32	3.12
coitus	taboo	6	2				1.64	1.25	2.06	1.44	1.48	1.18	3.45	2.76	4.36	1.32	3.88	2.86	4.27	2.97
crap	taboo	4	1				5.76	1.97	6.24	1.97	2.09	1.65	3.70	1.94	3.12	1.14	3.76	2.46	5.73	2.66
cum	taboo	3	1				4.38	2.37	4.47	2.37	1.88	1.31	5.97	2.07	4.53	1.34	5.63	2.55	6.31	2.43
cunnilingus	taboo	11	4				2.13	2.00	2.26	1.61	1.74	1.95	4.32	3.00	4.26	1.39	4.26	2.72	4.13	3.18
cunt	taboo	4	1				2.88	1.95	3.45	1.97	5.06	2.90	7.76	1.54	1.76	1.00	6.67	2.30	5.06	3.15
damn	taboo	4	1				6.22	2.37	6.75	1.81	1.88	1.48	3.72	1.80	3.69	1.45	3.75	2.24	1.84	1.74
defecate	taboo	8	3				2.45	1.90	3.13	1.73	1.97	1.70	3.32	2.15	3.26	1.39	4.13	2.58	5.10	2.90
dick	taboo	4	1				5.12	2.27	5.91	2.07	3.12	2.13	5.85	2.37	3.12	1.43	5.03	2.52	6.91	2.55
dildo	taboo	5	2				2.81	1.51	4.34	1.96	2.78	2.18	6.31	1.82	3.97	1.18	5.13	2.62	7.32	1.92
dork	taboo	4	1				4.88	2.01	5.66	1.95	1.63	1.10	2.00	1.16	3.94	1.27	2.72	1.73	3.72	2.44
dumb	taboo	4	1				6.72	1.82	6.69	1.93	2.78	2.55	2.91	2.01	2.97	1.03	3.25	2.38	2.78	2.32
dyke	taboo	4	1				2.52	1.77	3.70	1.96	4.00	2.50	6.61	1.82	2.24	1.23	4.55	2.44	3.94	2.33
ejaculate	taboo	9	4				3.45	1.80	4.45	1.89	1.85	1.00	5.30	1.83	4.85	1.72	5.52	2.33	6.52	2.53
excrement	taboo	9	3				2.09	1.73	3.25	2.00	1.31	0.64	2.34	1.81	3.56	1.27	2.75	2.19	5.63	2.62
fag	taboo	3	1				4.06	2.44	5.15	2.45	4.97	2.82	7.06	2.29	1.70	0.85	5.42	2.60	3.36	2.68
fart	taboo	4	1				5.23	2.22	5.87	2.01	1.81	1.56	2.81	1.82	3.81	1.20	3.90	2.52	4.00	3.03
fellatio	taboo	8	4				2.45	1.75	2.87	2.19	2.06	2.00	4.84	2.65	4.68	1.83	5.58	2.55	6.32	2.65
fornicate	taboo	9	3				2.61	1.48	3.39	1.82	1.35	0.88	3.84	2.51	4.52	1.55	4.32	2.70	5.42	2.95
fuck	taboo	4	1				5.97	2.68	6.90	2.23	4.48	3.18	7.71	1.74	2.45	1.52	6.94	2.11	3.97	3.31
gay	taboo	3	1				5.82	2.27	6.48	2.05	3.03	2.20	5.55	2.51	3.88	1.50	4.42	2.61	3.42	2.81
goddamn	taboo	7	2				4.69	2.58	6.25	1.92	3.50	2.91	5.44	2.48	2.53	1.27	4.74	2.53	1.81	1.54
gook	taboo	4	1				2.19	2.06	2.63	1.98	3.88	3.19	5.72	3.02	2.63	1.60	4.78	3.26	3.56	3.10
hell	taboo	4	1	95	2.85	4.65	5.39	2.32	6.36	2.06	1.94	1.89	3.88	2.71	2.00	1.17	4.48	2.92	5.36	3.07
homo	taboo	4	2				3.97	2.51	5.03	2.39	3.74	2.49	6.32	2.43	2.48	1.00	5.35	2.58	4.00	2.65
hooker	taboo	6	2		4.53	6.00	3.27	1.84	4.52	2.22	2.67	2.00	5.27	2.43	2.79	1.71	4.76	2.78	6.30	2.38
horny	taboo	5	2				5.33	2.43	5.48	2.18	1.55	0.97	4.70	2.20	4.58	1.39	5.70	2.44	3.61	2.86
hump	taboo	4	1				3.67	1.90	4.06	1.85	1.70	1.21	3.76	1.97	4.67	0.92	4.55	2.53	6.27	2.41
idiot	taboo	5	3	2	3.40	4.80	5.88	2.11	6.34	1.73	2.63	2.43	3.19	2.15	3.22	1.26	3.41	2.51	2.91	2.36
jerk	taboo	4	1				5.41	1.85	6.31	1.73	2.19	1.62	2.28	1.25	3.22	0.91	2.94	2.23	2.81	2.33
jism	taboo	4	2				1.67	1.05	1.88	1.22	2.09	1.83	4.09	2.70	4.00	1.30	3.97	2.77	3.33	3.03
jugs	taboo	4	1				3.25	1.97	4.41	2.06	1.75	1.55	3.50	2.50	4.75	1.39	3.75	2.66	7.34	1.84
kike	taboo	4	1				1.35	0.80	2.23	1.98	3.71	3.25	5.45	3.30	2.45	1.69	4.37	3.61	2.60	2.67
knockers	taboo	8	2				2.52	1.71	3.94	2.19	2.00	1.71	3.97	2.56	4.97	1.33	4.61	3.06	6.48	2.34
lame	taboo	4	1				5.94	1.92	5.58	2.09	1.45	1.23	1.64	1.32	3.73	1.28	1.97	1.38	3.00	2.74
lesbo	taboo	5	2				2.82	1.79	4.12	2.27	3.52	2.18	6.27	2.08	2.94	1.25	5.09	2.48	4.76	3.04
loser	taboo	5	2	1	2.61	4.84	5.50	1.88	6.13	2.03	2.69	2.15	2.53	2.03	2.59	1.07	3.25	2.33	2.91	1.99
masturbate	taboo	10	3		6.60	6.08	4.42	1.92	5.18	2.01	2.39	1.82	5.55	2.17	4.27	1.66	5.45	2.44	5.30	2.93
moron	taboo	5	2				4.26	1.77	4.97	1.94	2.81	2.29	3.13	1.82	3.03	0.98	3.35	2.33	2.65	2.29
motherfucker	taboo	12	4				4.90	2.63	5.32	2.07	4.97	3.11	8.00	1.44	1.68	0.79	6.58	2.55	1.90	1.58
nigger	taboo	6	2				2.19	2.06	5.23	2.72	5.84	3.24	8.58	0.89	1.39	0.88	6.90	2.76	6.19	2.87
nipples	taboo	7	2				4.52	2.08	5.55	2.14	1.73	1.72	4.06	2.26	4.91	1.47	5.45	2.14	8.00	1.62
nutsack	taboo	7	2				3.03	1.93	3.45	1.99	3.24	2.84	5.73	2.59	3.82	1.53	5.06	2.77	6.09	2.74
orgasm	taboo	6	3	7	8.45	7.90	4.82	2.04	5.67	2.09	1.52	1.00	4.73	1.89	6.73	1.88	6.21	2.32	5.94	2.47
pecker	taboo	6	2				2.06	1.69	3.39	1.97	2.06	1.80	3.91	2.36	4.03	1.24	3.39	2.46	4.85	3.11
pee	taboo	3	1				5.84	2.27	5.84	2.27	1.47	0.98	2.56	1.97	4.25	1.02	2.97	2.23	6.39	2.38
penis	taboo	5	2		5.55	5.10	4.94	2.17	5.66	1.95	1.72	1.59	4.34	2.19	4.75	1.70	4.69	2.73	7.69	2.01
piss	taboo	4	1				5.84	2.25	5.48	2.23	1.81	1.33	4.00	2.28	3.29	0.94	3.90	2.27	6.03	2.71
prick	taboo	5	1	2	4.55	4.10	3.12	2.06	4.12	1.73	4.09	2.57	5.18	2.30	2.76	1.32	4.52	2.69	3.48	2.77
pussy	taboo	5	2				4.75	2.34	5.38	2.18	3.97	2.85	6.56	1.88	3.00	1.34	6.56	1.92	6.34	2.67
queer	taboo	5	1				2.94	2.14	4.87	2.31	3.94	3.04	5.68	2.74	2.52	1.24	4.97	3.28	2.93	2.48
randy	taboo	5	2				2.12	1.60	2.64	1.73	1.15	0.57	1.76	1.50	4.76	1.30	2.39	1.98	2.48	2.50
retard	taboo	6	2				4.61	2.15	5.67	2.29	4.12	2.57	5.67	2.35	2.30	1.05	4.79	2.76	4.61	2.59
rimjob	taboo	6	2				2.16	1.83	2.94	1.93	3.35	2.62	6.84	2.24	3.94	1.79	5.90	2.55	5.84	2.73
screw	taboo	5	1				5.06	2.03	5.35	2.04	1.84	1.64	3.13	2.51	4.10	1.27	3.40	2.61	6.13	2.81
scrotum	taboo	7	2				2.58	1.61	3.71	2.04	2.10	1.87	3.81	2.21	4.32	1.42	4.42	2.51	6.94	2.44
semen	taboo	5	2				3.69	2.33	3.91	1.96	1.28	0.77	4.03	1.94	4.53	1.11	4.53	2.29	6.78	2.24
shit	taboo	4	1				6.00	2.70	7.00	1.78	3.09	2.58	5.53	2.53	2.72	1.28	5.53	2.97	5.13	3.01
shithead	taboo	8	2				2.87	2.08	3.61	2.33	4.00	2.82	6.00	2.42	2.16	1.07	5.19	2.89	2.52	2.54
skank	taboo	5	1				3.36	1.95	4.15	1.82	2.79	2.18	5.30	2.60	2.36	1.03	4.67	2.72	4.45	2.76
