Means and Standard Deviations for the Six Emotions														
														
Description	IAPS #	N	Happiness		Surprise		Sadness		Anger		Disgust		Fear	
			M	SD	M	SD	M	SD	M	SD	M	SD	M	SD
snake   	1019	40	1.93	1.58	4.05	2.23	3.28	2.41	2.11	1.72	4.51	2.7	3.13	2.48
snake   	1022	26	1.69	1.41	4.65	2.61	1.96	1.61	2.19	2.02	3.65	3.02	5.31	2.74
snake   	1030	41	3.03	2.97	3.48	2.45	1.35	1.33	1.75	1.72	2.55	2.49	2.83	2.61
snake   	1040	26	2	1.36	3.58	2.08	2.04	1.56	2	1.9	3.15	2.72	5.15	2.91
snake   	1050	40	1.75	1.61	5.53	2.59	2.15	1.96	2.58	2.18	3.85	2.89	6	2.78
snake   	1051	26	1.58	1.03	3.85	2.29	2.23	1.9	2.19	1.88	4.12	3.04	5.23	2.83
snake   	1052	41	1.63	1.25	3.8	2.41	1.73	1.3	2	1.54	3.1	2.54	6.18	3.21
snake   	1070	40	1.98	1.51	4.15	2.41	2.2	1.83	2.18	1.84	3.44	2.71	5.43	3.1
snake   	1080	25	2	1.63	2.84	2.59	1.25	0.85	1.88	1.96	2.33	2.18	4.16	2.98
snake   	1090	25	1.64	0.95	2.68	2.06	1.96	1.37	2.04	1.95	3.24	2.98	4.64	2.9
snake   	1101	25	1.24	0.83	3.24	2.18	1.72	1.79	1.56	1.53	3.16	2.78	5.88	2.83
snake   	1110	41	3.93	2.17	2.17	1.53	3.46	2.26	1.93	1.78	2.49	2.13	3.51	2.76
snakes  	1111	25	1.76	1.83	2.96	2.15	1.68	1.65	1.68	1.35	5.24	2.91	3.92	2.8
snake   	1112	29	2.48	1.98	2.86	2.2	1.72	1.49	1.45	1.33	2.21	2.24	2.52	2.6
snake   	1113	38	1.95	1.54	4.03	2.34	2	1.63	2.24	1.94	2.82	2.26	5.45	2.59
snake   	1120	27	1.59	1.25	4.67	2.47	2.41	1.89	2.59	2.01	3.93	3.01	6.41	2.66
lizard  	1121	32	4.55	2.16	2.81	1.71	1.44	1.01	1.31	0.93	1.31	0.93	1.94	1.5
spider  	1200	25	1.28	0.61	4.04	2.37	1.08	0.28	1.52	1.42	4.88	3.09	5.6	2.69
spider  	1201	38	1.76	1.22	3.87	2.59	2.08	1.99	2.61	2.58	4.87	3.19	6.39	2.73
spider  	1220	26	1.58	1.27	3.77	2.03	1.73	1.25	1.8	1.41	4.38	2.61	5.27	2.75
spider  	1230	27	2.48	1.97	2.78	1.78	1.65	1.23	2.19	2.12	3.44	2.68	4.37	3.01
spider  	1240	25	1.8	1.5	3.12	2.22	2.04	1.88	2.54	2.54	5.12	2.95	5.4	3.08
roach   	1270	25	1.56	1.12	2.96	1.99	1.56	1.16	1.6	1.15	4.68	2.44	3.08	2.2
roaches 	1274	25	1.08	0.4	5.56	2.43	7	2.18	7.24	2.24	6.96	2.54	7.04	2.46
roaches 	1275	26	1.96	1.37	2.04	1.68	1.27	1	1.38	1.24	2.96	2.2	2.38	2.28
rat     	1280	40	1.68	1.34	4.36	2.21	2.49	1.97	2.05	1.85	5.54	2.87	3.38	2.47
pit bull	1300	25	1.36	0.91	4.52	2.38	2.52	1.71	2.44	1.69	3.72	2.65	5.96	2.59
dog     	1301	27	1.96	1.31	3.96	2.07	2.96	2.36	3.59	2.83	3.26	2.52	5.3	2.91
dog     	1302	29	1.39	0.79	4.1	2.51	2.86	2.2	2.93	2.53	2.29	1.94	5.82	2.92
dog     	1303	41	2.18	2.11	5.67	2.23	2.9	2.34	3.25	2.59	3.08	2.6	5.9	2.89
leopard 	1310	29	2.07	2.24	3.48	2.15	3.55	2.65	2.24	2.26	4.76	2.75	3.55	2.85
frog    	1313	40	4.1	2.45	4.05	2.44	1.28	0.91	1.28	0.93	1.5	1.57	1.33	1.02
bear    	1321	25	3.68	2.36	1.56	1.04	1.08	0.28	1.17	0.64	1.28	0.89	1.28	0.89
women   	1340	25	7.2	1.8	5.92	2.27	1.52	1.81	1	0	1	0	1	0
bees    	1390	25	1.92	1.35	3.32	2.32	1.84	1.75	2.92	2.45	2.96	2.64	4.64	2.86
seal    	1440	26	6.54	2.1	3.31	2.09	1.62	1.3	1.38	1.39	1.65	1.9	1.23	0.86
gannet  	1450	25	3.48	2.16	2.28	1.34	1.4	0.91	1.12	0.33	1.32	0.69	1.12	0.33
kitten  	1460	50	6.33	2.35	2.65	1.68	1.46	0.97	1.17	0.64	1.11	0.31	1.08	0.28
kittens 	1463	38	7.65	1.51	4.21	2.21	1.34	1.02	1.21	0.74	1.16	0.68	1.13	0.41
dog     	1500	26	5.54	2.92	2.28	1.7	2.15	2.43	1.46	1.39	1.38	1.24	1.88	1.63
dog     	1510	29	5.45	3.03	2.28	2.23	2.21	2.26	1.17	0.76	1.17	0.76	1.28	0.84
cat     	1540	25	5.16	2.97	2.48	1.81	1.68	1.38	1.04	0.2	1.04	0.2	1.4	1.26
hawk    	1560	38	3.32	2.34	3.68	2.03	1.76	1.63	1.97	1.65	1.55	1.27	3.26	2.32
horse   	1590	38	4.66	2.16	2.47	1.5	1.61	1.18	1.13	0.41	1.13	0.41	1.45	1.03
horse   	1600	25	5.38	2	2.21	1.74	1.71	1.92	1.21	0.83	1.21	0.83	1.75	1.82
giraffes	1601	51	5.86	2.1	2.84	2.01	1.24	0.69	1.16	0.62	1.24	0.83	1.12	0.61
