"Appendix A"
"Words included in the database and their values in AoA Logistic Regression (AoA_LR), AoA based on the 75% rule (AoA_75), Adults Rated AoA (Rated AoA), Adults Picture Naming Times (RTs), Adults Rated Typicality (Typ _Ad), Adults Rated Familiarity (Fam_Ad), Corpus Word Frequency (Frq_Ad), Children Essays Word Frequency (Frq_Es), Word Length in letters (L)"
Italian nouns,English noun,AoA_LR,AoA_75,Rated AoA,RTs,Typ_Ad,Fam_Ad,Frq_Ad,Frq_Es,L
AEREO,AIRPLANE,-,32.5,54.0,611,0.24,5.73,2.86,50.99,5
AGLIO,GARLIC,118.66,-,73.2,1542,3.93,5.80,2.06,0.26,5
ALBICOCCA,APRICOT,94.89,-,49.6,1183,5.60,5.33,1.00,-,9
AMACA,HAMMOCK,104.38,140.0,80.4,997,3.00,4.53,1.07,-,5
AMBULANZA,AMBULANCE,54.59,68.5,77.6,765,3.86,5.26,1.60,3.00,9
ANANAS,PINEAPPLE,71.05,89.5,68.8,717,6.06,4.86,1.36,-,6
ANATRA,DUCK,92.35,-,58.8,996,3.93,5.20,1.41,8.87,6
ANGURIA,WATERMELON,43.65,56.5,50.8,676,6.66,5.93,1.07,-,7
ANTENNA,ANTENNA,111.40,140.0,75.6,871,4.46,5.40,1.93,7.68,7
APECAR,THREE-WHEELED VAN,97.77,-,112.8,1137,3.53,6.00,0.01,-,6
AQUILA,EAGLE,66.53,101.5,62.4,906,6.26,4.06,2.27,14.00,6
ARANCIA,ORANGE,61.28,80.5,44.1,836,6.60,5.66,1.74,12.94,7
ARCO,ARCH,125.86,140.0,108.0,934,4.53,4.00,2.49,-,4
ARCO,BOW,56.26,68.5,62.8,787,3.40,2.00,2.49,-,4
ARMADIO,WARDROBE,55.56,74.5,46.8,827,7.00,6.46,2.13,56.55,7
ARPA,HARP,127.53,140.0,89.2,775,4.40,3.86,1.39,-,4
ASCIA,AXE,104.38,140.0,77.6,675,2.46,2.80,1.25,1.03,5
ASINO,DONKEY,56.58,68.5,42.0,788,5.26,5.46,1.84,17.70,5
ASPARAGO,ASPARAGUS,126.00,-,79.2,1127,3.80,5.66,0.69,-,8
ATTACCAPANNI,CLOTHES-STAND,76.13,89.5,64.8,874,4.46,4.46,1.23,12.25,12
AUTOMOBILE,CAR,-,26.5,45.6,804,7.00,7.00,2.60,70.75,10
AVVOLTOIO,VULTURE,-,-,78.0,935,3.20,3.26,1.27,2.08,9
BALESTRA,CROSSBOW,-,-,95.2,1144,3.26,1.46,1.17,-,8
BANANA,BANANA,16.03,32.5,39.2,592,6.80,6.00,1.68,11.82,6
BARCA,BOAT,-,32.5,37.2,849,3.00,4.66,2.59,37.78,5
BASTONE,STICK,42.87,56.5,37.2,1023,1.40,2.66,2.36,22.67,7
BATTERIA,DRUMS,94.22,101.5,76.4,745,5.86,5.13,1.72,7.78,8
BICICLETTA,BICYCLE,-,26.5,38.0,631,5.26,6.86,2.45,307.93,10
BILANCIA,SCALE,65.88,74.5,52.4,719,3.93,3.26,2.19,1.13,8
BINOCOLO,BINOCULAR,-,-,74.0,774,5.86,4.93,1.43,-,8
BIRILLO,SKITTLE,51.71,62.5,45.6,977,3.46,3.13,0.77,0.23,7
BOMBA,BOMB,90.90,113.5,69.2,1037,5.33,1.33,2.58,18.50,5
BOTTE,BARREL,72.33,101.5,58.4,749,4.33,3.80,1.83,4.94,5
BUSSOLA,COMPASS,84.50,101.5,79.6,925,5.86,3.60,1.67,0.33,7
CALZE,STOCKINGS,72.53,125.5,59.4,1002,4.93,4.86,2.02,-,5
CALZINI,SOCKS,20.35,38.5,40.2,704,5.14,5.93,1.50,-,7
CAMICIA,SHIRT,45.26,68.5,46.4,724,6.66,6.13,2.61,26.80,7
CAMINO,CHIMNEY,51.24,50.5,54.8,707,3.26,5.33,2.14,23.53,6
CAMION,TRUCK,18.94,32.5,48.4,747,5.93,6.20,2.29,51.79,6
CAMMELLO,CAMEL,41.46,56.5,60.0,989,3.60,3.13,1.53,1.15,8
CAMPANILE,BELL-TOWER,66.67,101.5,52.0,890,4.46,5.06,2.00,2.12,9
CANCELLO,GATE,40.43,56.5,44.4,778,2.60,4.86,1.92,30.54,8
CANDELA,CANDLE,25.05,32.5,44.4,668,2.46,6.33,1.97,22.58,7
CANE,DOG,20.39,26.5,32.4,656,6.66,6.60,2.78,955.51,4
CANGURO,KANGAROO,35.41,50.5,60.8,730,4.86,3.73,0.95,4.83,7
CANNONE,CANNON,72.50,101.5,68.4,712,4.00,1.66,1.97,11.08,7
CANOTTIERA,SINGLET,50.66,56.5,44.4,841,5.46,5.93,1.14,-,10
CAPPELLO,HAT,18.57,32.5,40.8,574,4.93,2.80,2.58,50.17,8
CARAMELLA,CANDY,18.34,32.5,28.4,669,6.60,6.26,1.32,80.31,9
CARCIOFO,ARTICHOKE,102.50,140.0,62.0,892,5.33,6.00,1.81,-,8
CAROTA,CARROT,28.34,44.5,46.8,682,6.26,6.73,1.71,15.73,6
CARRETTO,CART,81.77,101.5,58.0,879,1.46,3.86,1.50,1.86,8
CARRIOLA,WHEELBARROW,34.12,38.5,57.2,804,1.20,5.13,1.07,-,8
CARROZZA,CARRIAGE,50.02,56.5,56.0,1116,1.73,2.66,2.33,12.18,8
CASA,HOUSE,15.03,26.5,28.8,590,6.20,6.33,3.93,2666.45,4
CASCO,HELMET,46.45,56.5,72.4,682,4.06,4.60,1.51,14.04,5
CASSETTO,DRAWER,43.34,50.5,44.8,659,3.40,6.26,2.20,12.17,8
CASTAGNA,CHESTNUT,47.66,50.5,50.4,927,4.60,5.93,1.53,25.28,8
CASTELLO,CASTLE,47.33,62.5,46.8,834,5.40,3.93,2.71,119.18,8
CAVALLO,HORSE,16.34,26.5,42.4,657,5.93,5.66,2.94,239.81,7
CERNIERA,ZIPPER,54.53,56.5,63.2,1052,2.73,5.93,1.54,-,8
CERVO,DEER,55.60,74.5,60.4,716,4.80,4.93,1.99,11.94,5
CETRIOLO,CUCUMBER,128.25,-,66.0,1103,3.80,5.73,1.04,-,8
CHIESA,CHURCH,46.76,56.5,46.0,805,5.80,5.20,3.22,145.01,6
CHITARRA,GUITAR,32.24,38.5,65.2,773,7.00,6.00,2.04,6.83,8
CIABATTE,SLIPPERS,38.55,50.5,43.2,784,3.06,4.07,1.17,-,8
CICOGNA,STORK,120.16,-,48.4,2042,3.26,3.33,1.47,1.00,7
CIGNO,SWAN,64.04,89.5,54.8,980,3.46,5.46,1.70,24.18,5
CILIEGIA,CHERRY,61.79,74.5,46.8,803,6.26,6.13,1.04,9.14,8
CINTURA,BELT,34.71,38.5,55.6,627,4.06,5.93,2.12,8.81,7
CIPOLLA,ONION,71.83,89.5,54.8,1026,5.13,6.13,1.96,2.84,7
CLESSIDRA,SAND-GLASS,96.99,113.5,96.4,798,2.73,3.40,0.77,-,9
COLOMBA,DOVE,97.51,-,60.0,1071,3.93,4.26,1.69,-,7
CONIGLIO,RABBIT,29.26,38.5,45.2,715,4.80,6.13,2.07,84.95,8
COPERCHIO,LID,51.85,56.5,48.0,841,4.86,6.66,1.84,2.17,9
CORNAMUSA,BAGPIPE,-,-,85.6,1014,3.20,2.93,0.30,-,9
CRAVATTA,TIE,53.84,68.5,59.2,656,4.33,3.26,2.20,7.86,8
CUPOLA,CUPOLA,125.92,140.0,96.4,850,4.33,4.00,1.87,-,6
DAMIGIANA,DEMIJOHN,128.90,-,73.6,1029,4.53,4.06,0.60,-,9
DIRIGIBILE,DIRIGIBLE,-,-,98.8,961,1.80,2.33,0.84,-,10
DIVANO,COUCH,18.55,32.5,40.8,764,6.86,6.66,2.22,61.59,6
ELEFANTE,ELEPHANT,15.48,32.5,42.4,655,5.53,4.20,1.84,16.19,8
ELICOTTERO,HELICOPTER,36.21,56.5,60.8,708,4.26,4.80,2.14,5.96,10
FAGIANO,PHEASANT,-,-,82.8,1519,3.53,3.53,1.07,-,7
FALCE,SICKLE,120.29,-,78.4,777,4.20,2.33,1.67,-,5
FARO,LIGHTHOUSE,84.91,101.5,61.6,998,3.33,3.13,1.71,13.85,4
FENICOTTERO,FLAMINGO,111.85,-,83.6,1677,2.86,3.13,0.01,-,11
FIASCO,FLASK,-,-,73.2,798,4.40,3.60,1.86,-,6
FICO,FIG,85.46,113.5,56.0,1584,5.00,4.80,1.78,2.68,4
FIONDA,SLING,91.52,113.5,66.8,882,2.73,2.73,1.11,1.93,6
FISARMONICA,ACCORDION,-,140.0,72.0,978,3.60,4.20,1.38,-,11
FLAUTO,FLUTE,85.58,113.5,70.8,913,4.73,5.46,1.90,1.73,6
FORBICE,SCISSORS,21.27,26.5,47.6,618,4.80,5.93,1.53,1.13,7
FRAGOLA,STRAWBERRY,34.04,44.5,42.0,700,6.66,6.00,1.55,25.03,7
FRECCIA,DART,44.49,50.5,55.6,710,3.80,1.66,1.59,19.57,7
FRUSTA,WHIP,76.43,101.5,66.4,968,2.13,1.53,1.39,-,6
FUCILE,RIFLE,44.43,50.5,54.8,797,6.80,1.93,2.20,16.54,6
FUNGO,MUSHROOM,31.20,38.5,46.4,735,3.40,6.06,2.01,38.03,5
GABBIANO,SEA-GULL,114.37,-,49.2,1180,6.40,5.06,1.78,11.82,8
GALLINA,HEN,30.70,38.5,39.6,722,3.53,5.80,2.10,31.89,7
GALLO,ROOSTER,61.29,80.5,40.4,673,2.60,6.40,2.29,4.93,5
GATTO,CAT,-,26.5,33.6,673,6.06,6.46,2.57,612.67,5
GHIANDA,ACORN,92.15,113.5,64.8,1060,2.66,3.86,0.69,3.04,7
GIACCA,JACKET,71.64,80.5,52.0,821,6.40,4.53,2.46,30.40,6
GIRAFFA,GIRAFFE,23.52,38.5,45.6,559,4.80,4.00,1.00,4.20,7
GONDOLA,GONDOLA,-,140.0,75.2,835,2.20,3.66,1.17,3.62,7
GONNA,SKIRT,55.89,80.5,42.4,738,5.73,4.00,2.17,47.61,5
GRATTACIELO,SKYSCRAPER,86.84,101.5,73.2,703,6.13,3.66,1.66,0.66,11
