Modal Verb,English,Source,Name agreement,Image agreement,,Age of acquisition,,Visual complexity,,Familiarity,,Image variability,,Frequency,Reaction Time,,,,,
,,,NA>80%,M,SD,M,SD,M,SD,M,SD,M,SD,,,,,,,
aboyer,to bark,MD,100%,4.27,0.74,1.97,0.85,4.05,0.94,3.65,1.35,1.92,1.08,1.68,1049.38,,,,,
allumer,to light,MD,100%,3.43,1.3,2.43,1.14,3,0.73,3.45,1.5,3.04,1.02,11.42,974.27,,,,,
appuyer (s') ,to lean,MD,82%,2.8,0.92,2.97,1.07,3.05,0.83,2.45,0.89,2.4,1.15,13.32,1261.4,,,,,
arroser,to water,MD,100%,4.53,0.86,2.73,0.98,2.85,0.67,3.05,1.5,1.88,0.73,2.55,828.62,,,,,
bâiller,to yawn,MD,97%,3.8,0.76,2.23,0.97,2.1,0.72,4.15,0.67,1.68,0.75,1.52,1062.4,,,,,
balancer (se) ,to swing,MD,97%,4.67,0.61,2.1,0.8,2.9,0.72,2.35,1.09,2.36,0.86,6.39,1080.83,,,,,
boire ,to drink,MD,100%,4.27,0.87,1.17,0.38,2,0.65,4.8,0.41,3.04,1.17,56.74,758.2,,,,,
caresser,to stroke,MD,92%,4.03,0.96,2.13,0.9,2.8,0.77,2.75,1.33,3.08,0.95,9.32,1179.71,,,,,
chanter,to sing,MD,100%,4.03,0.81,1.7,0.79,1.95,0.6,3.35,1.27,2.68,1.07,23.1,797.56,,,,,
chatouiller,to tickle,MD,100%,2.47,0.86,1.83,0.87,2.85,0.81,2.2,1.11,2,1.04,0.81,1403.07,,,,,
conduire,to drive,MD,97%,4.27,0.74,2.63,1,3.65,0.75,4.05,1.15,2.6,0.96,34.32,848.23,,,,,
coudre,to sew,MD,97%,2.9,0.96,2.93,0.98,2.75,0.79,2.45,1.47,2.2,0.91,5.55,1362.18,,,,,
couler,to sink,MD,97%,3.03,1.63,2.53,0.94,3.15,0.75,2,1.26,2.04,0.89,21.1,1062.85,,,,,
courir,to run,MD,100%,3.9,0.8,1.5,0.73,2.1,0.79,3.5,1.15,2.4,0.91,42.9,867.57,,,,,
creuser,to dig,MD,97%,4.37,0.85,2.43,0.86,3.05,0.89,2.8,1.47,2.2,0.71,7.61,1196.73,,,,,
cuisiner,to cook,MD,100%,4.1,0.61,2.63,1.19,3.9,0.72,3.75,1.07,3.2,0.87,1.23,944.57,,,,,
danser,to dance,MD,100%,4.07,0.87,2.03,0.96,3.4,0.68,2.9,1.21,3.48,1.26,21.26,792.85,,,,,
dessiner,to draw,MD,87%,3.83,0.83,1.6,0.62,3.7,0.66,2.9,1.37,3.08,1.08,9.74,1102.42,,,,,
dormir,to sleep,MD,100%,4.47,0.63,1.2,0.55,3,0.65,4.9,0.31,3.04,1.31,51.1,809,,,,,
écrire,to write,MD,97%,4.03,0.96,2.2,0.76,2.95,0.76,4.45,0.83,2.96,1.14,89.16,1045.64,,,,,
