Description	IADS #	category: 1 sd	category: 0.5 sd	mean hap	sd hap	mean fear	sd fear	mean ang	sd ang	mean dis	sd dis	mean sad	sd sad		n
TomCat	100	   	   	1.8243	1.8159	3.9865	2.5238	3.7297	2.5498	2.527	2.2648	4.0811	2.5415		74
PuppyCry	105	   	S  	1.6438	1.6863	4.0411	2.801	2.6986	2.3075	1.9178	1.8009	5.7534	2.7878		73
DogGrowl	106	AF 	AF 	1.2027	0.5963	6.5405	2.6493	6.6216	2.6726	3.3514	2.7169	1.9459	1.6626		74
Carousel	109	H  	H  	7.0694	2.3215	2.0972	1.8852	1.3472	1.0503	1.3194	1.0592	1.3472	1.1279		72
BabyLaugh	110	H  	H  	7.7162	2.0708	1.2838	0.8993	1.2973	1.1905	1.5135	1.4734	1.3108	1.0193		74
MusicBox	111	   	HS 	4.375	2.8256	2.0278	1.8912	2.0278	1.846	1.4444	1.4427	3.6944	2.5099		72
KidsInPark	112	H  	H  	7.2027	2.0738	1.3919	1.1446	1.2027	0.9063	1.2568	0.8923	1.3108	1.0459		74
Cows	113	   	   	2.1622	1.9656	2.4324	2.0613	2.8378	2.2997	2.7297	2.2471	1.9324	1.7307		74
Bees	115	   	F  	1.3784	1.119	5.4324	2.8673	3.8108	2.6775	3.3378	2.6857	1.6622	1.3576		74
Wasp	116	   	AFD	1.2667	0.7769	4.3467	2.8068	3.9067	2.886	3.76	2.9078	1.44	1.0935		75
Rooster	120	   	   	2.4459	2.1271	2.4595	2.1145	2.2432	2.0055	1.7297	1.4363	1.5811	1.3849		74
Pig	130	   	AFD	1.48	1.2772	5.32	2.7664	4.88	2.7261	4.6133	2.945	2.2533	1.8679		75
Chickens	132	   	   	2.2533	1.9108	1.6533	1.3606	1.6133	1.24	1.9067	1.9602	1.4133	1.0279		75
Bear	133	   	AF 	1.6622	1.4265	5.9865	2.7918	4.9189	2.8896	2.5811	2.2022	2.0541	1.7896		74
Cardinal	151	H  	H  	6.3611	2.5415	1.2083	0.9335	1.1944	0.6846	1.1806	0.9689	1.2778	0.9674		72
Tropical	152	H  	H  	5.2133	2.6676	1.8933	1.7597	1.4933	1.2233	1.3467	1.133	1.36	0.9676		75
CountryNight	171	   	   	2.9067	2.3548	2.1867	1.865	1.5867	1.0792	2.3867	2.1679	1.48	1.0314		75
EroticCouple	200	HD 	H  	6.1918	2.8463	1.5068	1.4056	1.6027	1.3717	4.6164	2.8705	1.4932	1.5104		73
EroticFem1	201	H  	H  	6.6351	2.7277	1.473	1.3771	1.3243	0.9379	3.8649	3.0981	1.3108	0.9498		74
EroticFem2	202	   	H  	6.3784	2.8027	1.5946	1.7195	1.4595	1.0751	4.473	3.2571	1.3514	1.3183		74
EroticFem3	205	*	H  	5.7733	2.8359	1.5733	1.5172	1.4	1.3557	3.6533	2.9108	1.5333	1.1663		75
Shower	206	H  	H  	5.2297	2.5937	1.4189	1.1587	1.2162	0.7634	1.5541	1.4156	1.2703	0.8488		74
EroticMale1	210	   	HD 	4.4932	3.0282	1.6438	1.5931	1.3151	0.8478	5.1918	3.1783	1.3699	0.9931		73
EroticCouple2	215	   	H  	6.4247	2.7885	1.4521	1.4146	2	1.9579	4.4247	2.9996	1.2055	0.5764		73
EroticCouple3	216	   	H  	6.5867	2.6257	1.7733	1.8201	1.4267	1.3574	4.52	3.0061	1.3333	0.9492		75
BoyLaugh	220	H  	H  	7.9589	1.7515	1.2603	0.9432	1.4932	1.6593	1.4247	1.3532	1.1096	0.356		73
MaleLaugh	221	H  	H  	6.8667	2.2859	1.88	1.7931	1.36	1.1583	1.5467	1.3385	1.2667	1.0569		75
ClapGame	225	H  	H  	5.2703	2.49	1.3784	1.043	1.2838	0.9439	1.3649	0.9733	1.4459	1.1121		74
Laughing	226	H  	H  	7.6528	1.7293	1.5694	1.4711	1.4583	1.4912	1.4444	1.2206	1.3889	1.1328		72
Giggling	230	H  	H  	7.1127	2.074	1.3239	0.8067	1.1831	0.5427	1.6056	1.736	1.4648	1.3398		71
NoseBlow	251	D  	D  	1.3514	1.1871	1.2973	0.8231	1.4189	1.0855	5.7027	3.0193	2	1.775		74
MaleSnore	252	   	D  	1.4595	1.1249	1.7568	1.6202	2.0541	1.9993	4.7297	2.8921	1.5405	1.2734		74
VideoGame	254	H  	H  	4.7703	2.6718	1.7703	1.6264	2	1.8727	1.4459	1.3663	1.2568	0.8286		74
BabyCry	261	S  	S  	1.3243	1.0993	3.3784	2.4366	4.1486	2.8074	1.9189	1.9498	6.5676	2.3876		74
