Appendix A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57 Pictures with equivalent name and concept agreement, across all cultural and age groups",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Picture,Concept 2,Culture,Age,n 3,Familiarity 4 ,,,Name agreement 5,,Concept,,Name responses (and raw frequency counts)  7,,,,,,,,,,,,,,,,,,,,,,,
no. 1,,,,,,,,,,agreement 6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mean,SD,,H,%,%,,,,,,,,,,,,,,,,,,,,,,,,,
1,accordion,American,Young,109,2.03,1.01,"a, c",0.406,85,85,,accordion (93),,,,,,,,,,,,,,,,,,,,,,,
1,,American,Old,103,2.95,1.38,d,0.561,92,92,,accordion (95),,,,,,,,,,,,,,,,,,,,,,,
1,,Chinese,Young,100,4.26,1.19,,0.568,81,82,,"??? accordion (81), ?? accordion (1)",,,,,,,,,,,,,,,,,,,,,,,
1,,Chinese,Old,97,4.41,1.06,,0.685,84,87,,"??? accordion (81), ?? accordion (3)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,banana,American,Young,113,4.18,0.83,"a, c",0.000,100,100,,banana (113),,,,,,,,,,,,,,,,,,,,,,,
16,,American,Old,103,4.76,0.53,,0.000,100,100,,banana (103),,,,,,,,,,,,,,,,,,,,,,,
16,,Chinese,Young,98,4.82,0.58,,0.375,93,93,,?? banana (91),,,,,,,,,,,,,,,,,,,,,,,
16,,Chinese,Old,98,4.87,0.62,,0.000,99,99,,?? banana (97),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,bowl,American,Young,113,4.69,0.61,,0.274,96,96,,bowl (109)
34,,American,Old,103,4.78,0.56,,0.217,97,97,,bowl (100)
34,,Chinese,Young,100,4.78,0.54,,0.883,85,85,,???? bowl (85)
34,,Chinese,Old,94,4.86,0.50,,0.575,91,91,,???? bowl (86)
,,,,,,,,,,,,
36,bread,American,Young,113,4.61,0.60,"a, c",0.658,88,88,,bread (99)
36,,American,Old,103,4.84,0.44,,1.028,78,78,,bread (80)
36,,Chinese,Young,99,4.82,0.58,,0.790,86,86,,?? bread (85)
36,,Chinese,Old,98,4.85,0.61,,0.531,90,90,,?? bread (88)
,,,,,,,,,,,,
40,butterfly,American,Young,113,3.15,0.89,"a, c",0.000,100,100,,butterfly (113)
40,,American,Old,103,4.00,1.13,d,0.079,99,99,,butterfly (102)
40,,Chinese,Young,100,4.81,0.46,,0.275,96,97,,"?? butterfly (96),  ? butterfly (1)"
40,,Chinese,Old,98,4.78,0.55,,0.083,98,99,,"?? butterfly (96), ??? dotted butterfly (1)"
,,,,,,,,,,,,
42,cake,American,Young,113,3.69,0.84,"a, c",0.274,96,96,,cake (109)
42,,American,Old,103,4.54,0.71,,0.358,93,93,,cake (96)
42,,Chinese,Young,100,4.80,0.49,,0.730,88,88,,?? cake (88)
42,,Chinese,Old,94,4.68,0.81,,0.435,91,91,,?? cake (86)
,,,,,,,,,,,,
43,camel,American,Young,113,1.96,0.97,"a, c",0.000,100,100,,camel (113)
43,,American,Old,103,2.77,1.49,d,0.000,100,100,,camel (103)
43,,Chinese,Young,100,4.34,0.96,,0.565,89,89,,???? camel (89)
43,,Chinese,Old,95,4.62,0.73,,0.376,94,94,,???? camel (89)
,,,,,,,,,,,,
49,cat,American,Young,113,3.78,1.02,"a, c",0.128,98,98,,cat (111)
49,,American,Old,103,4.32,0.98,d,0.079,99,99,,cat (102)
49,,Chinese,Young,100,4.73,0.68,,0.335,91,91,,? cat (91)
49,,Chinese,Old,100,4.79,0.61,,0.244,96,96,,? cat (96)
,,,,,,,,,,,,
64,coat,American,Young,113,3.73,1.00,"a, c",1.954,58,58,,coat (65)
64,,American,Old,103,4.48,0.84,d,1.535,64,64,,coat (66)
64,,Chinese,Young,100,4.79,0.48,b,1.699,53,53,,?? coat (53)
64,,Chinese,Old,100,4.92,0.27,,2.114,67,67,,?? coat (67)
,,,,,,,,,,,,
65,comb,American,Young,113,4.10,1.03,"a, c",0.073,99,99,,comb (112)
65,,American,Old,103,4.80,0.68,,0.079,99,99,,comb (102)
65,,Chinese,Young,100,4.98,0.14,b,0.363,95,97,,"?? comb (95), ?? comb  (2)"
65,,Chinese,Old,98,4.90,0.39,,0.576,89,89,,?? comb (87)
,,,,,,,,,,,,
73,dog,American,Young,113,4.27,0.87,"a, c",0.073,99,100,,"dog (112), doggie (1)"
73,,American,Old,103,4.47,0.84,d,0.079,99,99,,dog (102)
73,,Chinese,Young,100,4.86,0.43,,0.487,92,92,,? dog (92)
73,,Chinese,Old,98,4.80,0.56,,0.779,88,94,,"? dog (86), ? dog (2), ?? small dog (4)"
,,,,,,,,,,,,
81,duck,American,Young,113,3.12,0.90,"a, c",0.146,98,98,,duck (111)
81,,American,Old,103,3.92,1.11,d,0.476,92,92,,duck (95)
81,,Chinese,Young,100,4.63,0.65,b,0.542,92,92,,???? duck (92)
81,,Chinese,Old,96,4.82,0.44,,0.756,89,92,,"???? duck (85), ?????? small duck (3)"
,,,,,,,,,,,,
83,ear,American,Young,113,4.94,0.24,,0.073,99,99,,ear (112)
83,,American,Old,101,4.92,0.34,,0.300,96,96,,ear (97)
83,,Chinese,Young,100,4.94,0.28,,0.602,92,92,,???? ear (92)
83,,Chinese,Old,97,4.96,0.20,,0.330,96,96,,???? ear (93)
,,,,,,,,,,,,
84,elephant,American,Young,113,2.16,1.04,"a, c",0.000,100,100,,elephant (113)
84,,American,Old,103,3.00,1.41,d,0.000,100,100,,elephant (103)
84,,Chinese,Young,100,4.75,0.61,,0.000,100,100,,???? elephant (100)
84,,Chinese,Old,98,4.76,0.64,,0.164,98,99,,"???? elephant (96), ?? small elephant (1)"
,,,,,,,,,,,,
85,envelope,American,Young,113,4.36,0.66,"a, c",0.335,94,94,,envelope (106)
85,,American,Old,103,4.85,0.41,,0.138,98,98,,envelope (101)
85,,Chinese,Young,100,4.87,0.46,,0.161,98,98,,?? envelope (98)
85,,Chinese,Old,97,4.91,0.58,,0.170,95,95,,?? envelope (92)
,,,,,,,,,,,,
86,eye,American,Young,113,4.94,0.41,,0.073,99,99,,eye (112)
86,,American,Old,102,4.96,0.24,,0.079,99,99,,eye (101)
86,,Chinese,Young,100,4.96,0.20,,0.495,93,94,,"???? eye (93), ? eye (1)"
86,,Chinese,Old,96,4.96,0.20,,0.167,98,98,,???? eye (94)
,,,,,,,,,,,,
89,fish,American,Young,113,3.45,0.85,"a, c",0.146,98,98,,fish (111)
89,,American,Old,103,4.18,0.90,d,0.079,99,99,,fish (102)
89,,Chinese,Young,100,4.89,0.37,,0.855,87,87,,? fish (87)
89,,Chinese,Old,100,4.84,0.44,,0.355,95,95,,? fish (95)
,,,,,,,,,,,,
100,frog,American,Young,113,2.80,0.91,"a, c",0.177,97,97,,frog (110)
100,,American,Old,102,3.32,1.30,d,0.191,97,97,,frog (99)
100,,Chinese,Young,100,4.82,0.46,,0.335,95,95,,???? frog (95)
100,,Chinese,Old,96,4.84,0.47,,0.201,97,97,,???? frog (93)
,,,,,,,,,,,,
103,giraffe,American,Young,113,1.97,0.92,"a, c",0.000,100,100,,giraffe (113)
103,,American,Old,103,2.91,1.45,d,0.000,100,100,,giraffe (103)
103,,Chinese,Young,100,4.69,0.69,,0.000,100,100,,??? giraffe (100) 
103,,Chinese,Old,99,4.77,0.51,,0.305,96,97,,"??? giraffe (95), ?? giraffe (1)"
,,,,,,,,,,,,
108,gorilla,American,Young,113,2.08,0.99,"a, c",1.065,64,64,,gorilla (72)
108,,American,Old,103,2.89,1.41,d,1.384,60,60,,gorilla (62)
108,,Chinese,Young,100,4.45,0.81,,1.471,67,85,,"?? gorilla (67), ??? big gorilla (18)"
108,,Chinese,Old,97,4.49,0.81,,2.278,54,66,,"?? gorilla (52), ??? big gorilla (11), ??? black gorilla (1)"
,,,,,,,,,,,,
109,grapes,American,Young,113,3.91,0.81,"a, c",0.073,99,99,,grapes (112)
109,,American,Old,103,4.45,0.79,d,0.191,96,96,,grapes (99)
109,,Chinese,Young,100,4.88,0.50,b,0.082,97,97,,?? grapes (97)
109,,Chinese,Old,95,4.72,0.77,,0.354,91,91,,?? grapes (86)
,,,,,,,,,,,,
120,helicopter,American,Young,113,2.64,1.04,"a, c",0.000,100,100,,helicopter (113)
120,,American,Old,103,3.47,1.33,d,0.190,97,100,,"helicopter (100), copter (3)"
120,,Chinese,Young,100,4.64,0.70,,0.242,97,97,,???????? helicopter (97)
120,,Chinese,Old,96,4.78,0.53,,0.167,98,98,,???????? helicopter (94)   
,,,,,,,,,,,,
121,horse,American,Young,113,2.88,0.97,"a, c",0.000,100,100,,horse (113)
121,,American,Old,103,3.67,1.26,d,0.000,100,100,,horse (103)
121,,Chinese,Young,100,4.82,0.50,,0.194,97,97,,? horse (97)
121,,Chinese,Old,99,4.76,0.54,,0.000,100,100,,? horse (99)
,,,,,,,,,,,,
126,kangaroo,American,Young,113,1.87,0.94,"a, c",0.000,100,100,,kangaroo (113)
126,,American,Old,103,2.85,1.42,d,0.158,98,98,,kangaroo (101)
126,,Chinese,Young,100,4.66,0.73,,0.000,99,99,,?? kangaroo (99)
126,,Chinese,Old,99,4.62,0.74,,0.325,96,97,,"?? kangaroo (95), ??? big kangaroo (1)"
,,,,,,,,,,,,
128,key,American,Young,113,4.96,0.21,,0.000,100,100,,key (113)
128,,American,Old,103,4.96,0.24,,0.079,99,99,,key (102)
128,,Chinese,Young,100,4.94,0.24,,0.557,87,87,,?? key (87)
128,,Chinese,Old,99,4.89,0.35,,0.733,93,93,,?? key (92)
,,,,,,,,,,,,
129,kite,American,Young,113,2.55,0.91,"a, c",0.000,100,100,,kite (113)
129,,American,Old,103,3.31,1.36,d,0.000,100,100,,kite (103)
129,,Chinese,Young,100,4.68,0.68,,0.166,95,95,,?? kite (95)
