Appendix E,,,,,,,,
42 Pictures with Nonequivalent Name and Concept Agreement for Younger and Older Americans,,,,,,,,
,,,,,,,,
Picture,,Concept 2,Younger American Adults,,,Older American Adults,,
no. 1,,,Agreement %,,,Agreement %,,
,,,Name,Concept,Name responses,Name,Concept,Name responses
5,a,ant,91,91,ant,58,58,ant
9,,artichoke,36,36,artichoke ,71,71,artichoke 
10,,ashtray,66,66,ashtray ,98,98,ashtray 
12,a,axe,98,98,axe ,77,79,axe 
38,a,brush,88,88,brush,56,56,brush
55,,chicken,63,79,chicken (hen),79,94,chicken (hen)
56,,chisel,32,32,chisel ,62,62,chisel 
,,,,,,,,
58,,cigar,83,83,cigar ,99,99,cigar 
,,,,,,,,
61,,clothespin,75,79,"clothespin (clothesline pin, clothesline clip, clothes clip)",97,99,"clothespin, (clothes clip, clip, clothespin)"
62,a,cloud,82,82,cloud ,67,67,cloud 
66,a,corn,82,82,corn ,56,56,corn 
70,,cup,63,63,cup ,91,91,cup 
74,,doll,57,57,doll,82,82,doll
92,a,flute,72,72,flute ,47,47,flute 
111,a,guitar,100,100,guitar ,86,86,guitar 
112,a,gun,93,93,gun ,50,57,gun (hand gun)
118,a,hat,94,94,hat ,80,80,hat 
123,a,iron,99,99,iron  ,84,84,iron  
125,,jacket,50,50,jacket ,79,79,jacket 
127,,kettle,33,63,kettle (tea kettle),72,86,tea kettle (kettle)
136,,leopard,50,50,leopard ,83,83,leopard 
146,a,moon,85,85,moon ,67,67,moon 
152,,nail file,42,42,nail file/nail filer ,76,85,nail file/nail filer (fingernail file)
156,,nut,58,58,nut ,75,75,nut 
161,a,paintbrush,91,91,paintbrush,56,56,paintbrush
171,a,piano,89,89,piano ,77,77,piano 
176,,pliers,79,79,pliers ,97,97,pliers 
179,a,pot,81,81,pot ,37,35,pot 
182,,rabbit,80,80,rabbit ,99,99,rabbit 
183,a,raccoon,94,94,raccoon ,71,71,raccoon 
190,,rolling pin,71,87,"rolling pin (roller, roller pin)",98,100,rolling pin (roller)
203,,shirt,45,45,shirt ,91,91,shirt 
213,,spinning wheel,28,28,spinning wheel ,84,88,spinning wheel (spin wheel)
224,,sweater,65,65,sweater ,84,84,sweater 
225,a,swing,96,96,swing ,81,81,swing 
230,,thimble,86,86,thimble ,99,99,thimble 
235,a,toe,81,81,toes ,66,66,toes
240,a,train,98,98,train ,76,76,train 
243,a,trumpet,90,90,trumpet ,71,71,trumpet 
251,,watering can,45,50,watering can (water can),69,69,watering can 
252,a,watermelon,84,84,watermelon ,68,68,watermelon 
254,a,wheel,91,91,wheel ,70,70,wheel 
,,Notes.   ,,,,,,
,1,  The identifying number of each picture ,,,,,,
,2,  Object featured in picture,,,,,,
,3,  Dominant name response (and other responses representing the concept),,,,,,
,a,"  Pictures with lower name agreement for older, compared to, younger adults",,,,,,
