Table 6,,,,,,,,,
"Comparison of Results of the Present Study with Snodgrass and Vanderwart (1980), Snodgrass and Yuditsky (1996), and Bates et al. (2003) for 179 Overlapping Items",,,,,,,,,
,,,,,,,,,
,Present Study,,,,Snodgrass & Vanderwart (1980),Snodgrass & Yuditsky - Exp 1 (1996),Snodgrass & Yuditsky - Exp 2 (1996),Bates et al. (2003),Bates et al. (2003)
,,,Younger,Older,,,,,
,Younger ,Older ,Mainland,Mainland,Younger ,Younger,Younger ,Younger ,Younger 
Variable,American,American,Chinese,Chinese,American,American,American,American,Taiwanese
H-statistic,0.502,0.632,1.364,1.693,0.516,NA,NA,NA,NA
Name Agreement %,89,87,65,60,88,NA,NA,89,77
Concept Agreement %,91,90,70,67,91 a ,94,96,NA,NA
Familiarity,3.55,4.08,4.53,4.57,3.34,NA,NA,NA,NA
Valid Responses %,98.7,99.1,93,91.1,98.3,NA,NA,96.1,89.3
Invalid Responses %,1,0.6,6.8,4,NA,NA,NA,1.5,6.1
No Responses %,0.3,0.4,0.2,5,NA,NA,NA,2.3,4.6
,,,,,,,,,
,,,,,,,,,

a This percentage was based on a subset of 35 pictures for which Snodgrass and Vanderwart (1980) reported concept agreement.
NA:  Not Available
