language,part,doi
af,1,10.5281/zenodo.17328169
ar,1,10.5281/zenodo.17329023
ar,2,10.5281/zenodo.17334562
bg,1,10.5281/zenodo.17430982
bn,1,10.5281/zenodo.17442281
br,1,10.5281/zenodo.17443001
bs,1,10.5281/zenodo.17344027
ca,1,10.5281/zenodo.17352129
cs,1,10.5281/zenodo.17371745
cs,2,10.5281/zenodo.17386111
da,1,10.5281/zenodo.17389059
de,1,10.5281/zenodo.17443203
de,2,10.5281/zenodo.17446694
de,3,10.5281/zenodo.17449490
de,4,10.5281/zenodo.17482872
el,1,10.5281/zenodo.17390625
el,2,10.5281/zenodo.17394622
en,1,10.5281/zenodo.17361499
en,2,10.5281/zenodo.17576288
en,3,10.5281/zenodo.17585011
en,4,10.5281/zenodo.17595213
en,5,10.5281/zenodo.17603186
en,6,10.5281/zenodo.17618269
en,7,10.5281/zenodo.17619406
en,8,10.5281/zenodo.17619964
en,9,10.5281/zenodo.17620219
en,10,10.5281/zenodo.17620246
eo,1,10.5281/zenodo.17394831
es,1,10.5281/zenodo.17450685
es,2,10.5281/zenodo.17459793
es,3,10.5281/zenodo.17468301
et,1,10.5281/zenodo.17403307
eu,1,10.5281/zenodo.17422512
fa,1,10.5281/zenodo.17503241
fi,1,10.5281/zenodo.17496255
fi,2,10.5281/zenodo.17501942
fr,1,10.5281/zenodo.17337550
gl,1,10.5281/zenodo.17343732
he,1,10.5281/zenodo.17366566
he,2,10.5281/zenodo.17435642
hi,1,10.5281/zenodo.17506770
hr,1,10.5281/zenodo.17507139
hr,2,10.5281/zenodo.17510398
hu,1,10.5281/zenodo.17450130
hu,2,10.5281/zenodo.17487438
hu,3,10.5281/zenodo.17495349
hy,1,10.5281/zenodo.17503079
id,1,10.5281/zenodo.17508548
is,1,10.5281/zenodo.17512316
it,1,10.5281/zenodo.17517234
it,2,10.5281/zenodo.17520185
it,3,10.5281/zenodo.17531837
ja,1,10.5281/zenodo.17539310
ka,1,10.5281/zenodo.17548848
kk,1,10.5281/zenodo.17551941
ko,1,10.5281/zenodo.17553195
ko,2,10.5281/zenodo.17558872
lt,1,10.5281/zenodo.17559525
lv,1,10.5281/zenodo.17560572
mk,1,10.5281/zenodo.17561123
ml,1,10.5281/zenodo.17562308
ms,1,10.5281/zenodo.17562936
nl,1,10.5281/zenodo.17563962
nl,2,10.5281/zenodo.17566504
no,1,10.5281/zenodo.17566092
pl,1,10.5281/zenodo.17575147
pl,2,10.5281/zenodo.17577928
pl,3,10.5281/zenodo.17586413
pt,1,10.5281/zenodo.17582531
pt,2,10.5281/zenodo.17605883
ro,1,10.5281/zenodo.17586582
ro,2,10.5281/zenodo.17596253
ru,1,10.5281/zenodo.17593827
ru,2,10.5281/zenodo.17603392
ru,3,10.5281/zenodo.17606023
si,1,10.5281/zenodo.17559974
sk,1,10.5281/zenodo.17555316
sl,1,10.5281/zenodo.17560097
sq,1,10.5281/zenodo.17602011
sr,1,10.5281/zenodo.17615164
sr,2,10.5281/zenodo.17615219
sr,3,10.5281/zenodo.17615221
sv,1,10.5281/zenodo.17561217
sv,2,10.5281/zenodo.17561268
sv,3,10.5281/zenodo.17561285
ta,1,10.5281/zenodo.17616704
te,1,10.5281/zenodo.17618540
th,1,10.5281/zenodo.17621048
tl,1,10.5281/zenodo.17623253
tr,1,10.5281/zenodo.17622011
tr,2,10.5281/zenodo.17625108
tw,1,10.5281/zenodo.17466332
uk,1,10.5281/zenodo.17624050
uk,2,10.5281/zenodo.17635267
ur,1,10.5281/zenodo.17624311
vi,1,10.5281/zenodo.17639257
vi,2,10.5281/zenodo.17642074
vi,3,10.5281/zenodo.17648757
vi,4,10.5281/zenodo.17657125
zh,1,10.5281/zenodo.17478882
zh,2,10.5281/zenodo.17610765
