norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
aoa_mean_afrikaans,0.0,-0.03950396285702832,-0.04724673957700587,0.0,Luniewska2016.csv,norms,False,,af,50,1,cbow,fasttext
,0.22477860290395665,0.05052542032345463,0.0630201784201751,0.2510382011172306,af.subs.2018.tsv,counts,False,unigram_freq,af,50,1,cbow,fasttext
,0.03602680467522393,0.0012979306551067367,0.006040014754499445,0.0777175318348405,af.wiki.2018.tsv,counts,False,unigram_freq,af,50,1,cbow,fasttext
aoa_mean_afrikaans,0.36553129111144056,0.1336131247815967,0.15980129723878966,0.3997515443857468,Luniewska2016.csv,norms,True,,af,50,1,cbow,fasttext
,0.19002664675336273,0.0361101264763273,0.04504003328908157,0.21222637274637093,af.subs.2018.tsv,counts,True,unigram_freq,af,50,1,cbow,fasttext
,0.042244693548279866,0.0017846141329880788,0.008304831734981866,0.09113084952408743,af.wiki.2018.tsv,counts,True,unigram_freq,af,50,1,cbow,fasttext
aoa_mean_afrikaans,0.0,-0.059014028546994134,-0.07058077814220498,0.0,Luniewska2016.csv,norms,False,,af,50,1,cbow,word2vec
,0.14561080781384614,0.021202507352200833,0.02644581257784201,0.16262168544767333,af.subs.2018.tsv,counts,False,unigram_freq,af,50,1,cbow,word2vec
,0.02833775313581483,0.0008030282527863832,0.003736950411045492,0.06113060126520507,af.wiki.2018.tsv,counts,False,unigram_freq,af,50,1,cbow,word2vec
aoa_mean_afrikaans,0.18928477053765808,0.03582872435749387,0.04285115433156267,0.20700520363402142,Luniewska2016.csv,norms,True,,af,50,1,cbow,word2vec
,0.16740332110744233,0.028023871917801445,0.03495407652183641,0.18696009339384811,af.subs.2018.tsv,counts,True,unigram_freq,af,50,1,cbow,word2vec
,0.03071488143023641,0.0009434039412734815,0.004390198892618158,0.06625857599298492,af.wiki.2018.tsv,counts,True,unigram_freq,af,50,1,cbow,word2vec
aoa_mean_afrikaans,0.0,-0.0612428173445098,-0.07324640954403372,0.0,Luniewska2016.csv,norms,False,,af,50,1,sg,fasttext
,0.15009019487179512,0.02252706659665343,0.02809793064789684,0.1676243736689174,af.subs.2018.tsv,counts,False,unigram_freq,af,50,1,sg,fasttext
,0.023513272284966698,0.0005528739735469831,0.0025728392687727197,0.05072316303990436,af.wiki.2018.tsv,counts,False,unigram_freq,af,50,1,sg,fasttext
aoa_mean_afrikaans,0.17230392024112584,0.02968864093046026,0.03550761455283047,0.18843464265583032,Luniewska2016.csv,norms,True,,af,50,1,sg,fasttext
,0.18752243973908686,0.03516466540569946,0.0438607630330628,0.209429613553248,af.subs.2018.tsv,counts,True,unigram_freq,af,50,1,sg,fasttext
,0.036913249847872004,0.0013625880143314226,0.0063409024807947745,0.07962978388012097,af.wiki.2018.tsv,counts,True,unigram_freq,af,50,1,sg,fasttext
aoa_mean_afrikaans,0.0,-0.047585194539900656,-0.05691189266972119,0.0,Luniewska2016.csv,norms,False,,af,50,1,sg,word2vec
,0.14382587781073367,0.020685883128028094,0.025801429006658994,0.16062823228392634,af.subs.2018.tsv,counts,False,unigram_freq,af,50,1,sg,word2vec
,0.027051333145333634,0.0007317746249398262,0.00340536646870504,0.05835551789424064,af.wiki.2018.tsv,counts,False,unigram_freq,af,50,1,sg,word2vec
aoa_mean_afrikaans,0.20272195479696034,0.04109619095670083,0.04915104438421419,0.2217003481824379,Luniewska2016.csv,norms,True,,af,50,1,sg,word2vec
,0.17738790633616558,0.03146646931432825,0.03924801610252776,0.19811112059278188,af.subs.2018.tsv,counts,True,unigram_freq,af,50,1,sg,word2vec
,0.03084691892733964,0.0009515324073098646,0.004428025300830363,0.06654340914643886,af.wiki.2018.tsv,counts,True,unigram_freq,af,50,1,sg,word2vec
