language,dim,window,alg,family,seconds,n_words
ar,50,1,cbow,fasttext,4710.860454320908,1091393
ar,50,1,cbow,word2vec,3835.026490688324,1091393
ar,50,1,sg,fasttext,4467.180168867111,1091393
ar,50,1,sg,word2vec,3431.4562134742737,1091393
ar,100,2,cbow,fasttext,4801.878214597702,1091393
ar,100,2,cbow,word2vec,3852.7737743854523,1091393
ar,100,2,sg,fasttext,5818.510054826736,1091393
ar,100,2,sg,word2vec,4031.1482441425323,1091393
ar,200,3,cbow,fasttext,5463.445933818817,1091393
ar,200,3,cbow,word2vec,3173.691632270813,1091393
