language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
eu,50,1,cbow,fasttext_vs_word2vec,800,0.8091211937783925,0.7732136476651037
eu,50,1,sg,fasttext_vs_word2vec,800,0.868846239556067,0.8344711091153194
eu,50,1,cbow_vs_sg,fasttext,800,0.7461514259960108,0.703755885401111
eu,50,1,cbow_vs_sg,word2vec,800,0.8431972203048697,0.8046776750256667
eu,100,2,cbow,fasttext_vs_word2vec,800,0.7221859198865122,0.6856376766177099
eu,100,2,sg,fasttext_vs_word2vec,800,0.8657312902585984,0.8154655736094956
eu,100,2,cbow_vs_sg,fasttext,800,0.662924144987281,0.6198504064572599
eu,100,2,cbow_vs_sg,word2vec,800,0.8049871033963523,0.744848471640584
eu,200,3,cbow,fasttext_vs_word2vec,800,0.7066141328615567,0.6567231655375275
eu,200,3,sg,fasttext_vs_word2vec,800,0.8480217113497928,0.7806124845762463
eu,200,3,cbow_vs_sg,fasttext,800,0.6757318310580862,0.6254411363564555
eu,200,3,cbow_vs_sg,word2vec,800,0.7824428831030945,0.7064716556653077
eu,300,4,cbow,fasttext_vs_word2vec,800,0.7083022403666359,0.6532281791529402
eu,300,4,sg,fasttext_vs_word2vec,800,0.8316327357784798,0.7582524428774283
eu,300,4,cbow_vs_sg,fasttext,800,0.689286656713519,0.6418770917485525
eu,300,4,cbow_vs_sg,word2vec,800,0.7657546065203393,0.6841185632680303
eu,500,6,cbow,fasttext_vs_word2vec,800,0.7074475734943448,0.6502142556254397
eu,500,6,sg,fasttext_vs_word2vec,800,0.7917889968949547,0.716729617409321
eu,500,6,cbow_vs_sg,fasttext,800,0.6942440181115932,0.6580824100886156
eu,500,6,cbow_vs_sg,word2vec,800,0.7376787619547471,0.654843042979306
