norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
aoa_mean_hebrew,0.0,-0.04490705079679751,-0.5594670078434356,0.0,Luniewska2016.csv,norms,False,,he,50,1,cbow,fasttext
,0.043556089838857566,0.0018971329620506316,0.006051574375247393,0.0777918657395964,he.subs.2018.tsv,counts,False,unigram_freq,he,50,1,cbow,fasttext
,0.07383174592384636,0.005451126706163405,0.01544886400858897,0.12429345923494514,he.wiki.2018.tsv,counts,False,unigram_freq,he,50,1,cbow,fasttext
aoa_mean_hebrew,0.0,-0.01738408212325323,-0.2165766897855298,0.0,Luniewska2016.csv,norms,True,,he,50,1,cbow,fasttext
,0.03210401444512208,0.0010306677434926072,0.0032876781072698757,0.05733827785406426,he.subs.2018.tsv,counts,True,unigram_freq,he,50,1,cbow,fasttext
,0.04877305398477122,0.002378810795001408,0.006741711659827732,0.082107926900073,he.wiki.2018.tsv,counts,True,unigram_freq,he,50,1,cbow,fasttext
aoa_mean_hebrew,0.0,-0.07738691278889336,-0.9641119551616297,0.0,Luniewska2016.csv,norms,False,,he,50,1,cbow,word2vec
,0.047389216923993484,0.0022457378806693103,0.0071635726562311874,0.08463789137396552,he.subs.2018.tsv,counts,False,unigram_freq,he,50,1,cbow,word2vec
,0.09545022800965482,0.009110746027095093,0.025820474183849418,0.16068750475332366,he.wiki.2018.tsv,counts,False,unigram_freq,he,50,1,cbow,word2vec
aoa_mean_hebrew,0.0,-0.03216855264268961,-0.40076655167350805,0.0,Luniewska2016.csv,norms,True,,he,50,1,cbow,word2vec
,0.03153689549534925,0.00099457577748458,0.0031725500582530097,0.05632539443495278,he.subs.2018.tsv,counts,True,unigram_freq,he,50,1,cbow,word2vec
,0.04972218666044982,0.002472295846296614,0.0070066546564127585,0.08370576238475316,he.wiki.2018.tsv,counts,True,unigram_freq,he,50,1,cbow,word2vec
aoa_mean_hebrew,0.0,-0.09854502787741136,-1.2277068056394165,0.0,Luniewska2016.csv,norms,False,,he,50,1,sg,fasttext
,0.024751811278532068,0.0006126521615680672,0.001954270046458817,0.04420712664784737,he.subs.2018.tsv,counts,False,unigram_freq,he,50,1,sg,fasttext
,0.04154407453133899,0.0017259101286654487,0.004891346744637481,0.0699381637208004,he.wiki.2018.tsv,counts,False,unigram_freq,he,50,1,sg,fasttext
