language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
hi,50,1,cbow,fasttext_vs_word2vec,800,0.8575837090841616,0.8256576257255416
hi,50,1,sg,fasttext_vs_word2vec,800,0.924318146247751,0.9054787203107177
hi,50,1,cbow_vs_sg,fasttext,800,0.7856446191987365,0.7397502635284744
hi,50,1,cbow_vs_sg,word2vec,800,0.8887106447249309,0.8625140930239114
hi,100,2,cbow,fasttext_vs_word2vec,800,0.8279130097800402,0.7979969062636427
hi,100,2,sg,fasttext_vs_word2vec,800,0.9206313923685674,0.8938409938720772
hi,100,2,cbow_vs_sg,fasttext,800,0.7213413474891994,0.672588306674396
hi,100,2,cbow_vs_sg,word2vec,800,0.8537108224307377,0.8146724621852793
hi,200,3,cbow,fasttext_vs_word2vec,800,0.8106605723301716,0.7779719559290355
hi,200,3,sg,fasttext_vs_word2vec,800,0.8958133956932439,0.8615876134379225
hi,200,3,cbow_vs_sg,fasttext,800,0.659510730698099,0.6075604103055141
hi,200,3,cbow_vs_sg,word2vec,800,0.8156567959851602,0.7625323496886074
hi,300,4,cbow,fasttext_vs_word2vec,800,0.8123010433816102,0.7825434059593699
hi,300,4,sg,fasttext_vs_word2vec,800,0.8676929655260315,0.8317707436892069
hi,300,4,cbow_vs_sg,fasttext,800,0.6204488459516171,0.5736881962490666
hi,300,4,cbow_vs_sg,word2vec,800,0.7827872442764187,0.7240927460913823
hi,500,6,cbow,fasttext_vs_word2vec,800,0.8199216434801624,0.7946492717107517
hi,500,6,sg,fasttext_vs_word2vec,800,0.8202820699661644,0.7846575958260589
hi,500,6,cbow_vs_sg,fasttext,800,0.5584119682719348,0.526296365598379
hi,500,6,cbow_vs_sg,word2vec,800,0.731274793883682,0.6699041521036975
