language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
kk,50,1,cbow,fasttext_vs_word2vec,800,0.7205160085238,0.6655463311690839
kk,50,1,sg,fasttext_vs_word2vec,800,0.819578090464166,0.7737874444245652
kk,50,1,cbow_vs_sg,fasttext,800,0.6676472946452288,0.6092858256817189
kk,50,1,cbow_vs_sg,word2vec,800,0.8040525126357294,0.7572218027877932
kk,100,2,cbow,fasttext_vs_word2vec,800,0.6660131946995116,0.5980924673887257
kk,100,2,sg,fasttext_vs_word2vec,800,0.8277390003622407,0.7645856959416344
kk,100,2,cbow_vs_sg,fasttext,800,0.6036145266006765,0.5303947237688561
kk,100,2,cbow_vs_sg,word2vec,800,0.7611364025193481,0.6856638598283159
kk,200,3,cbow,fasttext_vs_word2vec,800,0.6608563065948164,0.5789218540482043
kk,200,3,sg,fasttext_vs_word2vec,800,0.8030683123284017,0.7237768563212174
kk,200,3,cbow_vs_sg,fasttext,800,0.6093713859901747,0.5335938785226333
kk,200,3,cbow_vs_sg,word2vec,800,0.7234680641364901,0.6288969001796988
kk,300,4,cbow,fasttext_vs_word2vec,800,0.6696481181686085,0.585671494646554
kk,300,4,sg,fasttext_vs_word2vec,800,0.7714376884221286,0.6864461758395322
kk,300,4,cbow_vs_sg,fasttext,800,0.6249307658999539,0.556270187465205
kk,300,4,cbow_vs_sg,word2vec,800,0.7036152803687157,0.6033618981127852
kk,500,6,cbow,fasttext_vs_word2vec,800,0.6849615959659245,0.6043710177026907
kk,500,6,sg,fasttext_vs_word2vec,800,0.7241001435033831,0.6390114826908968
kk,500,6,cbow_vs_sg,fasttext,800,0.6279516612677933,0.5729416230025153
kk,500,6,cbow_vs_sg,word2vec,800,0.6733459079765891,0.572508163956777
