language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
ta,50,1,cbow,fasttext_vs_word2vec,800,0.6928167712771465,0.6361638345515882
ta,50,1,sg,fasttext_vs_word2vec,800,0.8053257601380459,0.7564193264189477
ta,50,1,cbow_vs_sg,fasttext,800,0.7162214794709705,0.6665889922551581
ta,50,1,cbow_vs_sg,word2vec,800,0.8060431155911965,0.7567471598585592
ta,100,2,cbow,fasttext_vs_word2vec,800,0.6145459641776552,0.5409205511314544
ta,100,2,sg,fasttext_vs_word2vec,800,0.7479589040885617,0.6680076543071178
ta,100,2,cbow_vs_sg,fasttext,800,0.7067316137321079,0.6618471612046924
ta,100,2,cbow_vs_sg,word2vec,800,0.77494699882717,0.6970196677599451
ta,200,3,cbow,fasttext_vs_word2vec,800,0.5934160307909939,0.5051362726752584
ta,200,3,sg,fasttext_vs_word2vec,800,0.6852242719969257,0.5835502062248373
ta,200,3,cbow_vs_sg,fasttext,800,0.7108290403892037,0.6694628343611043
ta,200,3,cbow_vs_sg,word2vec,800,0.7564413137724819,0.6552973599302339
ta,300,4,cbow,fasttext_vs_word2vec,800,0.597494037105726,0.5075607995298306
ta,300,4,sg,fasttext_vs_word2vec,800,0.6481222559520827,0.5418630688962867
ta,300,4,cbow_vs_sg,fasttext,800,0.7140711428676618,0.67829121820553
ta,300,4,cbow_vs_sg,word2vec,800,0.7391142745089883,0.633843591346178
ta,500,6,cbow,fasttext_vs_word2vec,800,0.60407736755941,0.5155383421409687
ta,500,6,sg,fasttext_vs_word2vec,800,0.6134156777196138,0.511256054790659
ta,500,6,cbow_vs_sg,fasttext,800,0.6943683456393926,0.6674517196879493
ta,500,6,cbow_vs_sg,word2vec,800,0.7090284282676833,0.6042408678626738
