language,dim,window,alg,family,seconds,n_words
ta,50,1,cbow,fasttext,75.17488980293274,230217
ta,50,1,cbow,word2vec,38.320154905319214,230217
ta,50,1,sg,fasttext,80.92944693565369,230217
ta,50,1,sg,word2vec,41.1186089515686,230217
ta,100,2,cbow,fasttext,101.43249678611755,230217
ta,100,2,cbow,word2vec,46.51397204399109,230217
ta,100,2,sg,fasttext,133.20643734931946,230217
ta,100,2,sg,word2vec,69.74417281150818,230217
ta,200,3,cbow,fasttext,178.57026624679563,230217
ta,200,3,cbow,word2vec,69.46888089179993,230217
ta,200,3,sg,fasttext,241.793630361557,230217
ta,200,3,sg,word2vec,114.37156200408936,230217
ta,300,4,cbow,fasttext,253.66147994995117,230217
ta,300,4,cbow,word2vec,73.3913938999176,230217
ta,300,4,sg,fasttext,389.24656200408936,230217
ta,300,4,sg,word2vec,190.69650030136108,230217
ta,500,6,cbow,fasttext,504.43294978141785,230217
ta,500,6,cbow,word2vec,83.57680416107178,230217
ta,500,6,sg,fasttext,761.3550407886505,230217
ta,500,6,sg,word2vec,316.15087389945984,230217
