norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
imagine_mean,0.7288199157267253,0.531178469559911,0.8129227672826861,0.9016222974631263,Clarke2024.csv,norms,False,,th,50,1,cbow,fasttext
body_object_interaction_mean,0.37137551452886775,0.13791977279158127,0.28725674531756495,0.5359633805751705,Clarke2024.csv,norms,False,,th,50,1,cbow,fasttext
aoa_mean,0.4883103864713612,0.23844703353581012,0.36403685459714696,0.6033546673368384,Clarke2024.csv,norms,False,,th,50,1,cbow,fasttext
,0.12174434823157299,0.014821686326330508,0.03193558215214487,0.17870529413574984,th.subs.2018.tsv,counts,False,unigram_freq,th,50,1,cbow,fasttext
,0.10830328805685233,0.011729602203925531,0.03323453144837918,0.18230340492810104,th.wiki.2018.tsv,counts,False,unigram_freq,th,50,1,cbow,fasttext
imagine_mean,0.7431375740197067,0.5522534539198951,0.8451762105002774,0.9193346564229358,Clarke2024.csv,norms,True,,th,50,1,cbow,fasttext
body_object_interaction_mean,0.4614664493700907,0.21295128389423845,0.44353098532939067,0.6659812199524778,Clarke2024.csv,norms,True,,th,50,1,cbow,fasttext
aoa_mean,0.5271124409083182,0.2778475253603253,0.4241895472127296,0.6512983549900381,Clarke2024.csv,norms,True,,th,50,1,cbow,fasttext
,0.1107491608997447,0.012265376639997539,0.026427623327703764,0.16256575078319468,th.subs.2018.tsv,counts,True,unigram_freq,th,50,1,cbow,fasttext
,0.08254348642095741,0.006813427150526781,0.01930509278734449,0.13894276802822264,th.wiki.2018.tsv,counts,True,unigram_freq,th,50,1,cbow,fasttext
imagine_mean,0.7157630684839494,0.5123167702055589,0.7840565655943954,0.8854696864344908,Clarke2024.csv,norms,False,,th,50,1,cbow,word2vec
body_object_interaction_mean,0.38732102667742274,0.15001757770645283,0.3124538290641021,0.5589756963089738,Clarke2024.csv,norms,False,,th,50,1,cbow,word2vec
aoa_mean,0.4353146229139008,0.18949882092267165,0.289307665923205,0.5378732805440376,Clarke2024.csv,norms,False,,th,50,1,cbow,word2vec
,0.1089561158886883,0.011871435189549275,0.025578816432392792,0.1599337876509926,th.subs.2018.tsv,counts,False,unigram_freq,th,50,1,cbow,word2vec
,0.09728738071885533,0.009464834447135502,0.026817562319526422,0.16376068612315478,th.wiki.2018.tsv,counts,False,unigram_freq,th,50,1,cbow,word2vec
imagine_mean,0.73580267401467,0.5414055750871388,0.8285744689289789,0.9102606598820905,Clarke2024.csv,norms,True,,th,50,1,cbow,word2vec
body_object_interaction_mean,0.44670777618910906,0.19954783730781914,0.4156145353199279,0.6446817318025445,Clarke2024.csv,norms,True,,th,50,1,cbow,word2vec
aoa_mean,0.45908157915568604,0.2107558963200784,0.3217608222944886,0.5672396515534581,Clarke2024.csv,norms,True,,th,50,1,cbow,word2vec
,0.10421859997577342,0.01086151658091028,0.023402792869144484,0.1529797139137882,th.subs.2018.tsv,counts,True,unigram_freq,th,50,1,cbow,word2vec
,0.08225590313372882,0.0067660336003453805,0.019170808401005546,0.13845868842729064,th.wiki.2018.tsv,counts,True,unigram_freq,th,50,1,cbow,word2vec
imagine_mean,0.7300355160273466,0.5329518546613142,0.8156367800047849,0.903126115226874,Clarke2024.csv,norms,False,,th,50,1,sg,fasttext
body_object_interaction_mean,0.41722037761984915,0.17407284350124952,0.3625556906035958,0.6021259756924591,Clarke2024.csv,norms,False,,th,50,1,sg,fasttext
aoa_mean,0.4164116944596833,0.17339869928278465,0.26472762584677556,0.5145168858713731,Clarke2024.csv,norms,False,,th,50,1,sg,fasttext
,0.07473682440327559,0.005585592921886049,0.012035011246219862,0.10970419885409975,th.subs.2018.tsv,counts,False,unigram_freq,th,50,1,sg,fasttext
,0.07497809012826344,0.005621713999281995,0.015928505285575933,0.1262081823241898,th.wiki.2018.tsv,counts,False,unigram_freq,th,50,1,sg,fasttext
imagine_mean,0.7380024092973081,0.5446475561286315,0.8335360408878569,0.9129819499244533,Clarke2024.csv,norms,True,,th,50,1,sg,fasttext
body_object_interaction_mean,0.45252837768637527,0.2047819326114627,0.4265160119622849,0.6530819335751716,Clarke2024.csv,norms,True,,th,50,1,sg,fasttext
aoa_mean,0.4570178648803422,0.2088653288197867,0.3188744947272957,0.5646897331520165,Clarke2024.csv,norms,True,,th,50,1,sg,fasttext
,0.09060477460304449,0.008209225180868494,0.017688026814016933,0.1329963413557566,th.subs.2018.tsv,counts,True,unigram_freq,th,50,1,sg,fasttext
,0.09357819012210472,0.008756877666528778,0.0248116450275237,0.15751712614037783,th.wiki.2018.tsv,counts,True,unigram_freq,th,50,1,sg,fasttext
imagine_mean,0.7226852000005568,0.5222738982998448,0.7992950900987892,0.8940330475428686,Clarke2024.csv,norms,False,,th,50,1,sg,word2vec
body_object_interaction_mean,0.38564486509281354,0.14872196197245435,0.30975534463799265,0.5565566859161721,Clarke2024.csv,norms,False,,th,50,1,sg,word2vec
aoa_mean,0.42836292684686195,0.18349479709681,0.28014132857741136,0.5292837883190938,Clarke2024.csv,norms,False,,th,50,1,sg,word2vec
,0.06217688717471973,0.003865965298737827,0.008329811444994284,0.0912678007020783,th.subs.2018.tsv,counts,False,unigram_freq,th,50,1,sg,word2vec
,0.0682821018961604,0.0046624454393576304,0.01321052384272886,0.11493704295277855,th.wiki.2018.tsv,counts,False,unigram_freq,th,50,1,sg,word2vec
imagine_mean,0.7345746535066181,0.5395999215743681,0.8258110721904562,0.9087414770937091,Clarke2024.csv,norms,True,,th,50,1,sg,word2vec
body_object_interaction_mean,0.441763298130495,0.19515481157513256,0.4064648227839681,0.6375459377832848,Clarke2024.csv,norms,True,,th,50,1,sg,word2vec
aoa_mean,0.4599358295842141,0.21154096733531924,0.3229593894512519,0.5682951605031068,Clarke2024.csv,norms,True,,th,50,1,sg,word2vec
,0.07601246083569672,0.005777894202298329,0.01244935366336164,0.11157667168078478,th.subs.2018.tsv,counts,True,unigram_freq,th,50,1,sg,word2vec
,0.08083204413677036,0.006533819359328791,0.01851285501421085,0.1360619528531428,th.wiki.2018.tsv,counts,True,unigram_freq,th,50,1,sg,word2vec
imagine_mean,0.7082291490267014,0.5015885275310856,0.7676379168298122,0.87614948315331,Clarke2024.csv,norms,False,,th,100,2,cbow,fasttext
body_object_interaction_mean,0.0,-0.0291030001322575,-0.06061518901718532,0.0,Clarke2024.csv,norms,False,,th,100,2,cbow,fasttext
aoa_mean,0.3925002319572735,0.1540564320865135,0.23519780529712864,0.4849719634134829,Clarke2024.csv,norms,False,,th,100,2,cbow,fasttext
,0.14079745648591285,0.019823923752902525,0.042713665074938345,0.20667284551904333,th.subs.2018.tsv,counts,False,unigram_freq,th,100,2,cbow,fasttext
,0.11539710499018811,0.013316491840116497,0.037730807843962766,0.1942441964228604,th.wiki.2018.tsv,counts,False,unigram_freq,th,100,2,cbow,fasttext
imagine_mean,0.7400808402271699,0.5477196500713538,0.8382376153160135,0.9155531744885239,Clarke2024.csv,norms,True,,th,100,2,cbow,fasttext
body_object_interaction_mean,0.44155372901968576,0.1949696956111901,0.40607926668688266,0.6372434908940873,Clarke2024.csv,norms,True,,th,100,2,cbow,fasttext
aoa_mean,0.5237977832583384,0.2743641177463492,0.4188714321904215,0.6472027751720643,Clarke2024.csv,norms,True,,th,100,2,cbow,fasttext
,0.11549562698263278,0.013339239852111454,0.02874142528488771,0.16953296223710512,th.subs.2018.tsv,counts,True,unigram_freq,th,100,2,cbow,fasttext
,0.08173320456972966,0.006680316729237277,0.018927939120447546,0.13757884692221964,th.wiki.2018.tsv,counts,True,unigram_freq,th,100,2,cbow,fasttext
