language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
th,50,1,cbow,fasttext_vs_word2vec,800,0.8685158161104772,0.8556427620036984
th,50,1,sg,fasttext_vs_word2vec,800,0.8722495612684077,0.8387717823243749
th,50,1,cbow_vs_sg,fasttext,800,0.6164960347229623,0.5633709228302363
th,50,1,cbow_vs_sg,word2vec,800,0.783673733313188,0.7322440091613281
th,100,2,cbow,fasttext_vs_word2vec,800,0.8427557365345315,0.8360052753281162
th,100,2,sg,fasttext_vs_word2vec,800,0.8560217681301475,0.820997158027433
th,100,2,cbow_vs_sg,fasttext,800,0.46826192459662525,0.408721796475074
th,100,2,cbow_vs_sg,word2vec,800,0.7317717354881579,0.6558014291407152
th,200,3,cbow,fasttext_vs_word2vec,800,0.8353991954403919,0.8250540618123394
th,200,3,sg,fasttext_vs_word2vec,800,0.8484035629612307,0.8120977706748214
th,200,3,cbow_vs_sg,fasttext,800,0.43655084364846597,0.36250792765712314
th,200,3,cbow_vs_sg,word2vec,800,0.711627845909251,0.6173028224054545
th,300,4,cbow,fasttext_vs_word2vec,800,0.8259623030665803,0.8109327583190528
th,300,4,sg,fasttext_vs_word2vec,800,0.8484728968798518,0.814119394906057
th,300,4,cbow_vs_sg,fasttext,800,0.4305692146357646,0.35156157848725755
th,300,4,cbow_vs_sg,word2vec,800,0.7007506851964507,0.603933871070751
th,500,6,cbow,fasttext_vs_word2vec,800,0.814301131381983,0.7943401495337217
th,500,6,sg,fasttext_vs_word2vec,800,0.8546187488546466,0.8233972870892583
th,500,6,cbow_vs_sg,fasttext,800,0.42505484236778057,0.34694705345153404
th,500,6,cbow_vs_sg,word2vec,800,0.6671519001825574,0.5731999496729208
