language,dim,window,alg,family,seconds,n_words
th,50,1,cbow,fasttext,161.5985300540924,100120
th,50,1,cbow,word2vec,106.40263676643372,100120
th,50,1,sg,fasttext,190.5269169807434,100120
th,50,1,sg,word2vec,131.43130612373352,100120
th,100,2,cbow,fasttext,264.5806119441986,100120
th,100,2,cbow,word2vec,148.69152998924255,100120
th,100,2,sg,fasttext,345.69366002082825,100120
th,100,2,sg,word2vec,233.95681881904602,100120
th,200,3,cbow,fasttext,366.7300090789795,100120
th,200,3,cbow,word2vec,167.45582699775696,100120
th,200,3,sg,fasttext,579.9967150688171,100120
th,200,3,sg,word2vec,322.70846796035767,100120
th,300,4,cbow,fasttext,543.7086009979248,100120
th,300,4,cbow,word2vec,195.71465682983398,100120
th,300,4,sg,fasttext,902.3671290874481,100120
th,300,4,sg,word2vec,524.0690870285034,100120
th,500,6,cbow,fasttext,954.3942470550537,100120
th,500,6,cbow,word2vec,245.37758779525757,100120
th,500,6,sg,fasttext,1699.259036064148,100120
th,500,6,sg,word2vec,948.4606628417969,100120
