language,dim,window,alg,family,seconds,n_words
vi,50,1,cbow,fasttext,270.10296511650085,249852
vi,50,1,cbow,word2vec,217.44558310508728,249852
vi,50,1,sg,fasttext,362.8740620613098,249852
vi,50,1,sg,word2vec,267.04384303092957,249852
vi,100,2,cbow,fasttext,396.80416107177734,249852
vi,100,2,cbow,word2vec,255.6442449092865,249852
vi,100,2,sg,fasttext,607.6763648986816,249852
vi,100,2,sg,word2vec,443.8260998725891,249852
vi,200,3,cbow,fasttext,560.480859041214,249852
vi,200,3,cbow,word2vec,286.98493576049805,249852
vi,200,3,sg,fasttext,1036.8257310390472,249852
vi,200,3,sg,word2vec,647.6904017925262,249852
vi,300,4,cbow,fasttext,803.4386229515076,249852
vi,300,4,cbow,word2vec,342.673476934433,249852
vi,300,4,sg,fasttext,1558.203539133072,249852
vi,300,4,sg,word2vec,1042.75936293602,249852
vi,500,6,cbow,fasttext,1373.709291934967,249852
vi,500,6,cbow,word2vec,490.28679895401,249852
vi,500,6,sg,fasttext,2910.7392325401306,249852
vi,500,6,sg,word2vec,1924.5809872150421,249852
