language,dim,window,alg,comparison,n_common_words,pearson_r,spearman_r
zh,50,1,cbow,fasttext_vs_word2vec,800,0.9105432218537293,0.8934535551996197
zh,50,1,sg,fasttext_vs_word2vec,800,0.9630811349125574,0.9493981861613671
zh,50,1,cbow_vs_sg,fasttext,800,0.8031550151650313,0.7592800610043988
zh,50,1,cbow_vs_sg,word2vec,800,0.8642704215568068,0.8340392885335012
zh,100,2,cbow,fasttext_vs_word2vec,800,0.9452247375437133,0.9294130240005705
zh,100,2,sg,fasttext_vs_word2vec,800,0.9678278239521347,0.950559475226055
zh,100,2,cbow_vs_sg,fasttext,800,0.7761271376460837,0.7201761716462395
zh,100,2,cbow_vs_sg,word2vec,800,0.8049381476032027,0.7663853288089338
zh,200,3,cbow,fasttext_vs_word2vec,800,0.9581063616005974,0.937723232693966
zh,200,3,sg,fasttext_vs_word2vec,800,0.9705733831346444,0.9508886344245817
zh,200,3,cbow_vs_sg,fasttext,800,0.7676650137341483,0.6996069273277666
zh,200,3,cbow_vs_sg,word2vec,800,0.7821353073472408,0.7239767636802632
zh,300,4,cbow,fasttext_vs_word2vec,800,0.9612991124670407,0.9401228618834675
zh,300,4,sg,fasttext_vs_word2vec,800,0.9743748201451672,0.9560552996217382
zh,300,4,cbow_vs_sg,fasttext,800,0.7672076162569264,0.6966642038851926
zh,300,4,cbow_vs_sg,word2vec,800,0.7756319230742525,0.7066792101378586
zh,500,6,cbow,fasttext_vs_word2vec,800,0.9610342344200495,0.9385216359934809
zh,500,6,sg,fasttext_vs_word2vec,800,0.9785873434963972,0.9637880260847408
zh,500,6,cbow_vs_sg,fasttext,800,0.7639760559831035,0.693246575724274
zh,500,6,cbow_vs_sg,word2vec,800,0.7707117164244741,0.6959350042743795
