language,dim,window,alg,family,seconds,n_words
zh,50,1,cbow,fasttext,2050.2592442035675,1131513
zh,50,1,cbow,word2vec,1449.6242098808289,1131513
zh,50,1,sg,fasttext,2203.8948130607605,1131513
zh,50,1,sg,word2vec,1768.0238468647003,1131513
zh,100,2,cbow,fasttext,2236.6457030773163,1131513
zh,100,2,cbow,word2vec,1675.348771095276,1131513
zh,100,2,sg,fasttext,1960.2127048969269,1131513
zh,100,2,sg,word2vec,1594.6918151378632,1131513
zh,200,3,cbow,fasttext,1515.135773897171,1131513
zh,200,3,cbow,word2vec,1041.7668981552124,1131513
zh,200,3,sg,fasttext,3179.1532208919525,1131513
zh,200,3,sg,word2vec,2456.07581782341,1131513
zh,300,4,cbow,fasttext,1875.3758878707886,1131513
zh,300,4,cbow,word2vec,1255.7939920425415,1131513
zh,300,4,sg,fasttext,4911.726314067841,1131513
zh,300,4,sg,word2vec,3868.461656808853,1131513
zh,500,6,cbow,fasttext,2717.866313934326,1131513
zh,500,6,cbow,word2vec,1630.111253976822,1131513
zh,500,6,sg,fasttext,8803.652432918549,1131513
zh,500,6,sg,word2vec,7280.109949827194,1131513
